,date,open,high,low,close,volume,frac,fracHigh,fracLow,month
0,2019-02-19 08:00:00,99.35,99.4,98.41,99.12,584365.0,-0.0023150478107699024,0.0005032712632109851,0.009461499748364346,2
1,2019-02-19 12:00:00,99.15,99.44,98.95,99.06,832065.0,-0.0009077155824508664,0.0029248613212303786,0.002017145738779655,2
2,2019-02-19 16:00:00,99.05,99.05,99.05,99.05,13167.0,0.0,0.0,0.0,2
3,2019-02-20 08:00:00,99.18,100.01,99.09,99.52,597308.0,0.0034281105061503246,0.008368622706190746,0.0009074410163339726,2
4,2019-02-20 12:00:00,99.51,99.52,98.36,99.19,1050024.0,-0.0032157572103306943,0.00010049241282274047,0.011556627474625722,2
5,2019-02-20 16:00:00,99.19,99.19,99.19,99.19,266378.0,0.0,0.0,0.0,2
6,2019-02-21 08:00:00,98.95,98.95,98.07,98.38,301477.0,-0.0057604850934816305,0.0,0.008893380495199693,2
7,2019-02-21 12:00:00,98.36,98.66,97.7,98.12,608612.0,-0.0024400162667750597,0.003050020333468861,0.006710044733631523,2
8,2019-02-21 16:00:00,98.12,98.12,98.12,98.12,17240.0,0.0,0.0,0.0,2
9,2019-02-22 08:00:00,98.38,98.57,97.58,97.75,500014.0,-0.00640374059768241,0.0019312868469200826,0.008131734092295154,2
10,2019-02-22 12:00:00,97.75,98.08,96.46,97.09,1323623.0,-0.00675191815856774,0.00337595907928387,0.013196930946291624,2
11,2019-02-22 16:00:00,97.11,97.11,97.11,97.11,22764.0,0.0,0.0,0.0,2
12,2019-02-25 08:00:00,97.8,98.4,97.16,98.19,775598.0,0.003987730061349699,0.006134969325153462,0.006543967280163605,2
13,2019-02-25 12:00:00,98.18,98.32,97.26,97.291,1057090.0,-0.009054797311061418,0.001425952332450462,0.009370543898961109,2
14,2019-02-25 16:00:00,97.28,97.37,97.28,97.37,18961.0,0.0009251644736842456,0.0009251644736842456,0.0,2
15,2019-02-26 04:00:00,97.35,97.35,97.35,97.35,100.0,0.0,0.0,0.0,2
16,2019-02-26 08:00:00,97.32,97.52,96.04,96.295,782150.0,-0.010532264693793583,0.0020550760378134285,0.01315248664200562,2
17,2019-02-26 12:00:00,96.3,96.79,95.8,96.49,1342206.0,0.0019730010384215757,0.005088265835929482,0.005192107995846314,2
18,2019-02-26 16:00:00,96.49,96.49,96.48,96.48,262780.0,-0.00010363768266132144,0.0,0.00010363768266132144,2
19,2019-02-27 08:00:00,96.24,96.6,94.75,95.005,1016300.0,-0.012832502078137983,0.0037406483790523633,0.01548212801330003,2
20,2019-02-27 12:00:00,95.005,96.41,95.005,95.77,1704752.0,0.008052207778537978,0.014788695331824654,0.0,2
21,2019-02-27 16:00:00,95.77,95.78,95.77,95.78,7899.0,0.00010441683199337075,0.00010441683199337075,0.0,2
22,2019-02-28 08:00:00,95.45,96.53,95.14,96.235,704009.0,0.008224201152435794,0.011314824515453098,0.0032477737035097147,2
23,2019-02-28 12:00:00,96.235,96.7,95.895,96.33,1448761.0,0.00098716683119446,0.004831921857951924,0.00353301813269604,2
24,2019-02-28 16:00:00,96.33,96.33,96.2,96.33,140313.0,0.0,0.0,0.0013495276653170919,2
25,2019-03-01 04:00:00,96.85,96.86,96.85,96.86,300.0,0.00010325245224579366,0.00010325245224579366,0.0,3
26,2019-03-01 08:00:00,96.68,97.39,96.27,96.4,837842.0,-0.00289615225486141,0.007343814646255623,0.004240794373190016,3
27,2019-03-01 12:00:00,96.4,96.66,95.95,96.35,1123842.0,-0.0005186721991702423,0.0026970954356845527,0.00466804979253115,3
28,2019-03-01 16:00:00,96.36,96.36,95.84,95.84,11582.0,-0.005396430053964259,0.0,0.005396430053964259,3
29,2019-03-04 04:00:00,97.0,97.0,97.0,97.0,150.0,0.0,0.0,0.0,3
30,2019-03-04 08:00:00,96.77,97.05,95.1,95.11,555703.0,-0.017154076676655954,0.0028934587165443957,0.017257414487961163,3
31,2019-03-04 12:00:00,95.11,95.59,95.01,95.28,1204512.0,0.0017874040584586449,0.005046787929765577,0.0010514141520344266,3
32,2019-03-04 16:00:00,95.27,96.14,95.27,96.14,20992.0,0.009131940799832105,0.009131940799832105,0.0,3
33,2019-03-05 04:00:00,95.75,95.75,95.75,95.75,200.0,0.0,0.0,0.0,3
34,2019-03-05 08:00:00,96.25,96.25,95.08,95.61,739128.0,-0.006649350649350655,0.0,0.012155844155844173,3
35,2019-03-05 12:00:00,95.5917,96.0,95.09,95.44,1605447.0,-0.0015869578634965722,0.004271291335963237,0.0052483636131588785,3
36,2019-03-05 16:00:00,95.47,96.5,95.32,96.5,47275.0,0.010788729443804348,0.010788729443804348,0.0015711741908453513,3
37,2019-03-06 04:00:00,95.32,101.51,94.0,101.51,176799.0,0.06493915232899719,0.06493915232899719,0.013848090642047768,3
38,2019-03-06 08:00:00,96.2,102.1,93.3392,98.37,4976048.0,0.022557172557172576,0.06133056133056124,0.029738045738045712,3
