ticker,1_hour_pnl,1_hour_open_avg,1_hour_mean,1_hour_std,1_hour_var
btcusd,-0.2345678587164848,59530.10420634921,-0.000930824836176527,0.007582850375807023,5.7499619821876705e-05
ethusd,-0.2026021803767335,3339.7307539682524,-0.000803976906256879,0.008333293080174237,6.944377356007982e-05
xrpusd,-0.022138418847616827,0.5930610714285715,-8.785086844292392e-05,0.010097701972823801,0.00010196358513196968
bchusd,-0.4432323812230591,350.3395238095237,-0.00175885865564706,0.0183291849676099,0.0003359590215768567
ltcusd,0.21040404564893123,80.88142579365076,0.0008349366890830605,0.012390371361443452,0.00015352130247447805
eosusd,-0.20162016383852607,0.9216237301587304,-0.0008000800152322463,0.013183200048988071,0.00017379676353163908
dashusd,-0.15911548877838216,34.04246825396824,-0.0006314106697554848,0.012700360086045734,0.0001612991463152236
linkusd,-0.0441736002736355,19.688276230158717,-0.00017529206457791863,0.011268742595839891,0.0001269845596912964
zrxusd,0.13283068197488854,0.39484743253968224,0.0005271058808527323,0.015101259571305878,0.0002280480406399574
etcusd,0.2981534298558466,30.547666666666665,0.0011831485311739943,0.01395844540838926,0.0001948381982189832
xtzusd,0.027302742555730675,1.2540277777777773,0.00010834421649099475,0.011657760071698492,0.00013590336988928765
oxtusd,-0.1815909701443306,0.13564119047619047,-0.0007205990878743278,0.013279995268446561,0.00017635827432996304
repusd,-0.1462930491212623,1.3492341269841268,-0.0005805279727034218,0.016879622860424135,0.00028492166791015307
atomusd,0.14870229020099993,11.48309404761905,0.0005900884531785712,0.011680547330444475,0.00013643518593875353
algousd,0.09115332327642149,0.22284019841269856,0.0003617195368111964,0.014434256650510624,0.0002083477650528102
dntusd,-0.18658787970743265,0.03453769841269844,-0.0007404280940771137,0.03338845937751006,0.0011147892196036395
batusd,0.41372563272671986,0.2904336904761905,0.0016417683838361899,0.015984633536042056,0.00025550850928156033
cvcusd,0.023696025843679847,0.12179960317460313,9.403184858603114e-05,0.014653368158652529,0.00021472119839301178
manausd,0.22458669369538883,0.6006498809523808,0.0008912170384737652,0.016161320920713044,0.00026118829390227706
kncusd,0.057199813088778584,0.7314120634920637,0.0002269833852729309,0.013189780459774017,0.0001739703085770365
loomusd,0.2502638487734112,0.06796626984126986,0.0009931105110056,0.01176921821719102,0.000138514497443861
gntusd,0.5462827737946855,0.20964329365079354,0.0021677887848995455,0.010652292684534865,0.000113471339436995
nuusd,-0.07298852491093022,0.17140238095238106,-0.00028963700361480245,0.014301367153565043,0.00020452910246106912
mkrusd,-0.025383475736574013,2109.276706349207,-0.00010072807831973815,0.009059912862495535,8.208202107601203e-05
nmrusd,0.14943362662632065,32.9725396825397,0.0005929905818504788,0.015266021194342842,0.00023305140310612486
omgusd,-0.5157675610912587,0.9366447539682544,-0.002046696670997058,0.018672902027836568,0.00034867727014118306
rlcusd,-0.14561390179572184,3.860657142857143,-0.0005778329436338168,0.015015643730597623,0.00022546955664423568
snxusd,0.03529987660502536,4.224521031746032,0.00014007887541676728,0.014864420607602888,0.00022095099999972943
compusd,0.14620137929862076,84.9676904761905,0.0005801642035659554,0.017055961992256275,0.00029090583948129063
umausd,0.0014437203063284304,4.22074603174603,5.729048834636629e-06,0.014542823915281835,0.0002114937274308933
yfiusd,0.00402186908496012,8885.698293650794,1.595979795619095e-05,0.014188230463894341,0.00020130588369657944
renusd,0.2937993395390768,0.08394325396825399,0.0011658703949963365,0.014218352028957692,0.00020216153441936533
balusd,0.053359902253825746,5.015265873015872,0.00021174564386438789,0.01227720754312442,0.00015072982505695117
wbtcusd,0.2435697213015477,59519.87503968254,0.0009665465131013797,0.009172318679765252,8.413142996317057e-05
aaveusd,-0.04367254842991548,107.65677777777783,-0.0001733037636107757,0.012012200180983363,0.0001442929531880167
filusd,0.15995890586029654,8.656503571428578,0.0006347575629376846,0.016556945159744086,0.0002741324330227731
adausd,0.09260241205110281,0.6733928769841271,0.0003674698890916778,0.013488561553321007,0.0001819412927777296
grtusd,-0.07469314410437748,0.2978087301587303,-0.0002964013654935614,0.016057874439783962,0.0002578553315238671
solusd,-0.2259957143979085,120.02380952380945,-0.0008968083904678909,0.013471077507637754,0.00018146992921678383
lrcusd,0.13091211119475418,0.30251289682539667,0.000519492504741088,0.016536055558823436,0.00027344113344449544
cgldusd,0.2085590073861384,1.025353174603174,0.0008276151086751523,0.018004806486549337,0.0003241730566180891
ctsiusd,0.09913199578619453,0.3845865079365081,0.0003933809356595021,0.01609341720435274,0.0002589980773133567
sklusd,-0.07124717547888404,0.09965158730158734,-0.0002827268868209684,0.014551318387420256,0.00021174086681207484
sushiusd,-0.008806557464787146,1.621406746031745,-3.4946656606298196e-05,0.0173509678747207,0.0003010560861895898
ankrusd,0.05494542030609695,0.03627865079365078,0.00021803738216705137,0.01733392339215189,0.00030046490016499047
1inchusd,0.00113380861068604,0.5311139682539678,4.499240518595397e-06,0.013924050315592178,0.00019387917719114264
enjusd,0.4089722405384312,0.4469761904761904,0.001622905716422346,0.017230419411345645,0.0002968873530908768
nknusd,0.1895380990672001,0.142927380952381,0.0007521353137587305,0.013304217287713006,0.00017700219763868162
ognusd,-0.090738312920374,0.19730940476190473,-0.00036007267031894447,0.0137890712061952,0.00019013848472952154
chzusd,0.11924940092855504,0.14453285714285719,0.000473211908446647,0.014496250462110867,0.00021014127746024952
rlyusd,0.2698719462521722,0.008430012301587304,0.001070920421635604,0.02145276957673076,0.00046022132251230486
trbusd,-0.17481039010172658,116.25345238095241,-0.0006936920242132008,0.014782476938139489,0.00021852162442662586
bondusd,0.15184596201340927,3.862111111111114,0.0006025633413230527,0.010747423009681007,0.00011550710134902076
keepusd,0.12453121269167723,0.152008253968254,0.0004941714789352272,0.01439568806253627,0.00020723583479384929
mlnusd,-0.056969372631846045,20.342365079365084,-0.0002260689390152621,0.0116076203964664,0.00013473685126846278
truusd,0.027465595536276893,0.0711455158730158,0.00010899045847728925,0.014971407793686331,0.0002241430513248518
forthusd,0.09274085580098268,4.3668313492063495,0.00036801926905151856,0.011343668046301478,0.00012867880474468118
ghstusd,0.14187326893008373,1.063394841269842,0.0005629891624209672,0.009207419669923654,8.477657697809702e-05
maskusd,-0.028412956345884574,4.613849206349204,-0.00011274982676938324,0.015254316020518568,0.00023269415725384946
audiousd,-0.20690141240689586,0.1570309523809523,-0.0008210373508210153,0.0076777907760912905,5.8948471201432506e-05
gtcusd,0.3299434055563949,1.7684126984126984,0.0013092992283983925,0.018533929345261987,0.00034350653697516343
mirusd,2.3554089610226794,0.038658730158730156,0.009346860956439204,0.05860215826966797,0.0034342129538632144
axsusd,-0.18326895871182472,9.406151587301586,-0.0007272577726659711,0.014896229023633464,0.00022189763912453997
lptusd,0.06364795137042578,14.184404761904755,0.0002525712355969277,0.016511204506661104,0.00027261987426078593
flowusd,-0.12905602743248287,1.1091507936507934,-0.0005121270929860432,0.014710041793581204,0.00021638532956890573
farmusd,-0.05387611497132121,47.708809523809535,-0.0002137941070290524,0.009151196639037004,8.374439992632215e-05
