,date,open,high,low,close,volume,frac,fracHigh,fracLow,index
0,2019-02-19,42.4275,42.86,42.3725,42.7325,75891304.0,0.0071887337222320356,0.01019386011431259,0.0012963290318779026,1
1,2019-02-20,42.7975,43.33,42.7475,43.0075,104457448.0,0.004906828669898963,0.01244231555581515,0.001168292540452063,2
2,2019-02-21,42.95,43.0925,42.575,42.765,68998680.0,-0.004307334109429622,0.003317811408614628,0.008731082654249126,3
3,2019-02-22,42.895,43.25,42.845,43.2425,75652616.0,0.008101177293390757,0.00827602284648553,0.0011656370206318746,4
4,2019-02-25,43.54,43.9675,43.4875,43.5575,87493432.0,0.00040192926045012163,0.009818557648139688,0.001205787781350528,5
5,2019-02-26,43.4275,43.825,43.2933,43.5825,68280844.0,0.003569167002475416,0.009153186345057874,0.0030902078176270765,6
6,2019-02-27,43.3025,43.75,43.1825,43.7175,111341556.0,0.00958374227815944,0.010334276311991178,0.002771202586455852,7
7,2019-02-28,43.58,43.7275,43.23,43.2875,112861664.0,-0.006711794401101351,0.00338458008260672,0.00803120697567695,8
8,2019-03-01,43.57,43.7875,43.2225,43.7425,103544668.0,0.00395914620151479,0.004991966949736083,0.007975671333486428,9
9,2019-03-04,43.9225,44.4375,43.4925,43.9625,109744812.0,0.0009106949741020923,0.0117251977915647,0.009789970971597695,10
10,2019-03-05,43.985,44.0,43.635,43.8825,78949676.0,-0.0023303398885983666,0.00034102534955099623,0.007957258156189643,11
11,2019-03-06,43.6675,43.8725,43.485,43.63,83241536.0,-0.0008587622373617523,0.004694566897578414,0.004179309555161103,12
12,2019-03-07,43.4675,43.61,43.005,43.125,99185496.0,-0.007879450163915594,0.0032783113820670224,0.01064013343302464,13
13,2019-03-08,42.58,43.2675,42.375,43.2275,95997432.0,0.015206669798027263,0.016146077970878348,0.004814466885861867,14
14,2019-03-11,43.8725,44.78,43.8375,44.725,128044136.0,0.019431306627158224,0.020684939312781328,0.0007977662544875194,15
15,2019-03-12,45.0,45.6675,44.8425,45.2275,129870336.0,0.005055555555555536,0.014833333333333264,0.003499999999999975,16
16,2019-03-13,45.5625,45.825,45.23,45.4275,124130096.0,-0.0029629629629629194,0.005761316872428046,0.0072976680384088475,17
17,2019-03-14,45.975,46.025,45.64,45.9325,94318032.0,-0.0009244154431757254,0.0010875475802065721,0.007286568787384466,18
18,2019-03-15,46.2125,46.8325,45.935,46.53,156171648.0,0.006870435488233758,0.013416283473086385,0.006004868812550637,19
19,2019-03-18,46.45,47.0975,46.4475,47.005,104879328.0,0.011948331539289552,0.013939720129171017,5.3821313240147076e-05,20
20,2019-03-19,47.0875,47.2475,46.48,46.6325,126585476.0,-0.009662861693655394,0.0033979293867800095,0.012901513140430088,21
21,2019-03-20,46.5575,47.3725,46.1825,47.04,124140924.0,0.010363528969553814,0.017505235461526176,0.008054556193953713,22
22,2019-03-21,47.505,49.0825,47.4525,48.7725,204136948.0,0.026681401957688627,0.03320703083885908,0.0011051468266498681,23
23,2019-03-22,48.835,49.4225,47.695,47.7625,169630664.0,-0.021961707791542908,0.012030306132896459,0.023343913177024687,24
24,2019-03-25,47.8775,47.995,46.65,47.185,175381172.0,-0.014463996658137862,0.0024541799383844126,0.0256383478669521,25
25,2019-03-26,47.916,48.22,46.145,46.6975,199202152.0,-0.025429919024960324,0.006344436096502255,0.03696051423324138,26
26,2019-03-27,47.1875,47.44,46.6375,47.1175,119393708.0,-0.0014834437086092775,0.005350993377483395,0.011655629139072787,27
27,2019-03-28,47.2375,47.3898,46.8825,47.18,83121452.0,-0.0012172532415982524,0.0032241333686161182,0.007515215665519913,28
28,2019-03-29,47.4575,47.52,47.135,47.4875,94255844.0,0.0006321445503870627,0.0013169678133066428,0.006795553916662384,29
29,2019-04-01,47.91,47.92,47.095,47.81,111447856.0,-0.002087246921310673,0.0002087246921311859,0.0170110624086829,30
30,2019-04-02,47.7725,48.615,47.7625,48.505,91062900.0,0.015333089120309838,0.017635669056465565,0.00020932544874138908,31
31,2019-04-03,48.3125,49.125,48.2875,48.8375,93087320.0,0.010866752910737357,0.016817593790426907,0.0005174644243207986,32
32,2019-04-04,48.6975,49.0925,48.285,48.9225,76431900.0,0.004620360388110302,0.008111299348015877,0.00847066071153553,33
33,2019-04-05,49.1125,49.275,48.9825,49.25,74106576.0,0.002799694578773283,0.003308729956732022,0.002646983965385502,34
34,2019-04-08,49.105,50.0575,49.085,50.025,103374712.0,0.018735362997658114,0.019397210060075363,0.0004072904999490077,35
35,2019-04-09,50.08,50.7125,49.8075,49.875,143072948.0,-0.004093450479233193,0.012629792332268377,0.005441293929712477,36
36,2019-04-10,49.67,50.185,49.545,50.155,86781152.0,0.009764445339238965,0.010368431648882636,0.0025166096235152004,37
37,2019-04-11,50.2125,50.25,49.6108,49.7375,83582112.0,-0.009459795867562886,0.0007468259895444645,0.011983071944237013,38
38,2019-04-12,49.8,50.035,49.0525,49.7175,110658672.0,-0.0016566265060240165,0.004718875502008021,0.015010040160642474,39
