,open,high,low,close,volume,vwap,timestamp,transactions,otc
0,52.34,52.77,52.14,52.64,3014755.0,52.6113,1550552400000,20783,
1,57.0,57.25,54.91,55.07,4325413.0,55.3534,1550638800000,29385,
2,55.0,55.605,54.22,55.4,2478109.0,55.156,1550725200000,25942,
3,55.56,56.72,55.46,56.57,3291097.0,56.3043,1550811600000,23845,
4,56.92,57.92,56.65,57.27,2281940.0,57.4734,1551070800000,20013,
5,57.29,57.46,56.88,57.36,2224015.0,57.2907,1551157200000,16767,
6,57.1,57.47,56.7,57.45,2088156.0,57.1911,1551243600000,17040,
7,57.49,58.075,57.15,57.25,2165951.0,57.5128,1551330000000,18312,
8,58.06,58.35,57.42,58.14,1717645.0,57.9719,1551416400000,16176,
9,58.88,58.88,57.55,58.54,2447541.0,58.1466,1551675600000,22437,
10,58.59,58.95,58.2801,58.87,2237352.0,58.7313,1551762000000,16441,
11,58.95,59.1692,58.43,58.51,1917946.0,58.6755,1551848400000,16461,
12,58.46,58.88,58.21,58.77,2166769.0,58.6141,1551934800000,17729,
13,58.13,59.17,57.76,59.16,1835892.0,58.8115,1552021200000,17209,
14,59.32,60.0,59.2006,59.96,1987964.0,59.8614,1552276800000,16239,
15,60.0,60.7,59.86,60.62,2021498.0,60.504,1552363200000,16650,
16,60.87,61.43,60.0,60.66,2088438.0,60.9677,1552449600000,18874,
17,60.76,61.395,60.64,61.16,1965849.0,61.1546,1552536000000,14871,
18,61.26,62.17,60.87,60.99,4051115.0,61.3025,1552622400000,20335,
19,61.26,61.71,61.005,61.06,3537029.0,61.1918,1552881600000,23234,
20,61.19,61.5,60.75,61.24,2383012.0,61.1605,1552968000000,21657,
21,61.31,61.9,61.14,61.45,1807802.0,61.4765,1553054400000,17655,
22,61.57,63.185,61.57,63.08,1998540.0,62.8112,1553140800000,17247,
23,63.11,63.24,61.72,61.76,1925117.0,62.11,1553227200000,18011,
24,61.76,62.255,61.2652,62.11,2122989.0,61.9447,1553486400000,19665,
25,62.76,62.9,62.03,62.3,1822255.0,62.3749,1553572800000,18815,
26,62.35,62.445,61.095,61.83,1718746.0,61.7015,1553659200000,18429,
27,62.03,62.75,61.67,62.65,1478567.0,62.36,1553745600000,13793,
28,63.15,63.56,62.8,63.51,1899110.0,63.3462,1553832000000,13830,
29,65.08,65.24,63.6,64.8,2283826.0,64.5781,1554091200000,22271,
30,64.75,64.81,63.96,64.61,2256342.0,64.3219,1554177600000,21266,
31,65.06,65.45,64.56,65.17,2994365.0,65.0991,1554264000000,24682,
32,65.25,65.25,63.05,63.67,3546052.0,63.6547,1554350400000,29238,
33,64.13,64.3,63.51,64.2,1939052.0,64.0448,1554436800000,15869,
34,64.23,64.29,63.28,63.98,1946062.0,63.8484,1554696000000,16078,
35,63.64,64.59,63.63,64.31,1496951.0,64.2951,1554782400000,14014,
36,64.31,64.99,64.28,64.47,1589130.0,64.5765,1554868800000,16750,
37,64.59,64.72,64.08,64.57,1027349.0,64.5102,1554955200000,11149,
38,64.8,65.0,64.4,64.98,1703268.0,64.8858,1555041600000,14322,
39,65.0,65.37,64.59,65.06,1332870.0,64.9949,1555300800000,14135,
40,65.48,65.64,64.25,64.7,2138729.0,65.0391,1555387200000,20826,
41,65.0,65.06,63.74,63.97,2021170.0,64.0929,1555473600000,20243,
42,64.33,64.33,62.52,63.37,3021871.0,63.3126,1555560000000,23249,
43,63.31,64.2725,63.25,64.21,2307564.0,64.2473,1555905600000,18372,
44,68.5,69.69,65.88,66.7,5947501.0,66.8425,1555992000000,45850,
45,66.79,68.33,66.69,67.65,3186614.0,67.8581,1556078400000,28567,
46,68.11,68.44,66.69,67.49,2047101.0,67.415,1556164800000,21541,
47,67.5,68.25,66.84,68.22,2177863.0,67.9169,1556251200000,18731,
48,68.42,68.87,67.92,68.18,1683166.0,68.249,1556510400000,16252,
49,68.18,69.44,68.16,69.38,2154966.0,69.0145,1556596800000,21165,
50,69.6,69.99,68.46,68.54,1649273.0,68.9192,1556683200000,17066,
51,68.54,69.5152,68.2,69.45,2359393.0,69.1522,1556769600000,28058,
52,69.59,70.49,68.75,70.27,2233939.0,70.1632,1556856000000,21621,
53,68.62,70.19,68.06,70.0,1628935.0,69.578,1557115200000,17153,
54,69.11,69.46,67.94,68.6,2380742.0,68.5807,1557201600000,24494,
55,68.29,69.3,67.891,68.94,1696518.0,68.7442,1557288000000,19014,
56,68.07,69.0,67.2,68.7,1717182.0,68.2586,1557374400000,20674,
57,68.45,69.52,67.48,69.36,1736863.0,68.6867,1557460800000,20208,
58,67.4,68.22,66.67,66.9,1717178.0,67.0652,1557720000000,22766,
59,67.27,68.49,67.08,68.09,1827231.0,68.091,1557806400000,16766,
60,67.55,69.18,67.32,68.74,2438772.0,68.7283,1557892800000,21775,
61,68.9,70.36,68.75,69.85,2102331.0,69.9172,1557979200000,19626,
62,69.53,69.93,68.56,68.66,2045827.0,69.1531,1558065600000,21812,
63,67.37,67.4,64.375,64.62,3520807.0,65.3415,1558324800000,35866,
64,65.4,65.775,65.17,65.35,2708759.0,65.4427,1558411200000,24901,
65,65.02,65.14,64.44,64.72,2697865.0,64.7466,1558497600000,21505,
66,64.21,64.3,63.31,63.72,2613133.0,63.7063,1558584000000,25823,
67,63.89,64.33,63.78,63.99,2100293.0,64.1251,1558670400000,16386,
68,64.16,65.13,63.46,63.92,3914454.0,64.0313,1559016000000,22666,
69,63.44,64.18,62.82,63.75,2704225.0,63.7671,1559102400000,27999,
70,64.01,64.79,63.82,64.32,1360478.0,64.3714,1559188800000,16083,
71,63.45,64.27,63.13,63.57,2349260.0,63.6965,1559275200000,24523,
72,63.31,63.8,61.32,61.7,2636135.0,62.3174,1559534400000,32705,
73,62.57,63.55,62.22,63.22,4211582.0,63.1978,1559620800000,36729,
74,64.07,64.84,63.86,64.5,2572680.0,64.4464,1559707200000,27553,
75,64.7,64.85,63.66,64.69,2461770.0,64.3741,1559793600000,20602,
76,64.87,65.94,64.85,65.57,1726661.0,65.5689,1559880000000,18116,
77,66.2,67.31,65.85,67.17,2039946.0,66.825,1560139200000,23883,
78,67.83,68.33,67.38,68.2,2760228.0,67.9363,1560225600000,27041,
79,68.14,69.51,68.0,69.35,2270884.0,69.1329,1560312000000,20878,
80,69.98,70.08,67.89,68.1,2336183.0,68.7025,1560398400000,21049,
81,68.0,68.0,67.08,67.72,2064277.0,67.5065,1560484800000,18361,
82,67.9,68.4125,67.31,67.55,2149942.0,67.735,1560744000000,19337,
83,68.33,69.37,68.07,69.21,2226701.0,69.0957,1560830400000,20862,
84,69.35,71.61,69.22,71.44,3280202.0,70.8968,1560916800000,28675,
85,72.52,73.09,72.2081,72.67,3027658.0,72.6353,1561003200000,25300,
86,72.5,72.87,71.16,71.37,2885707.0,71.638,1561089600000,17908,
87,71.57,71.88,70.574,71.28,1960671.0,71.3376,1561348800000,16094,
88,71.04,71.66,69.36,69.43,2035163.0,70.0266,1561435200000,19678,
89,69.98,70.76,69.63,69.84,1798056.0,69.9655,1561521600000,16086,
90,69.99,70.48,69.95,70.17,1451851.0,70.1855,1561608000000,11677,
91,70.39,70.93,69.95,70.81,3560999.0,70.6802,1561694400000,19286,
92,72.56,73.53,72.38,73.35,2044445.0,73.1674,1561953600000,22611,
93,73.35,74.02,73.29,74.02,1967392.0,73.6841,1562040000000,21809,
94,74.25,75.02,74.0201,74.81,1854929.0,74.6344,1562126400000,14807,
95,74.2,74.43,72.883,74.41,1244822.0,73.9425,1562299200000,14273,
96,74.08,74.46,73.735,74.37,1341926.0,74.2327,1562558400000,13784,
97,73.85,74.57,73.54,74.49,1918150.0,74.2003,1562644800000,19477,
98,74.84,75.595,74.58,75.1,1738921.0,75.0501,1562731200000,19223,
99,75.55,75.56,74.75,75.2,1904150.0,75.1864,1562817600000,16337,
100,75.17,75.51,73.95,75.02,1786187.0,74.7804,1562904000000,17673,
101,75.53,75.53,74.72,75.2,1483883.0,75.1462,1563163200000,15785,
102,75.05,75.45,74.67,74.69,1924540.0,74.9401,1563249600000,25048,
103,74.75,75.41,74.29,74.35,1778334.0,74.727,1563336000000,18510,
104,74.0,75.04,73.62,74.72,2865838.0,74.672,1563422400000,22641,
105,74.8,74.922,72.87,72.92,2148272.0,73.7223,1563508800000,24103,
106,73.4,73.85,72.49,72.66,3778339.0,72.8662,1563768000000,32305,
107,71.99,74.43,71.1,74.27,3923791.0,73.1707,1563854400000,36051,
108,74.01,76.0,73.71,75.79,2229243.0,75.2303,1563940800000,24158,
109,75.69,77.08,75.38,76.04,2296217.0,76.3399,1564027200000,27097,
110,76.19,76.77,75.76,75.91,1948069.0,76.084,1564113600000,16380,
111,76.01,76.44,74.54,76.35,1427327.0,75.7068,1564372800000,18649,
112,75.7,76.27,75.23,75.54,1153567.0,75.6171,1564459200000,13110,
113,75.73,75.83,73.12,73.91,1660383.0,74.6529,1564545600000,22064,
114,73.91,75.34,72.6369,73.04,2114272.0,73.7468,1564632000000,25676,
115,72.32,72.99,70.66,71.27,1802398.0,71.2589,1564718400000,22113,
116,69.5,69.595,66.98,67.5,2771278.0,68.0317,1564977600000,31346,
117,68.15,69.4,68.05,69.15,2132725.0,68.9718,1565064000000,24555,
118,68.25,69.2,67.77,68.93,2122728.0,68.6977,1565150400000,30059,
119,69.51,71.67,69.5,71.39,1980780.0,71.0632,1565236800000,20304,
120,70.83,71.29,69.04,70.24,1200285.0,70.0362,1565323200000,14083,
121,69.95,70.03,68.39,68.72,1484540.0,69.046,1565582400000,17356,
122,68.6,71.13,68.41,70.97,2284787.0,70.6327,1565668800000,22797,
123,69.42,69.87,67.2903,67.73,1883309.0,67.9467,1565755200000,24244,
124,67.92,68.42,67.3,68.14,1662691.0,67.981,1565841600000,20340,
125,69.05,69.49,68.5,69.32,1454804.0,69.1896,1565928000000,15229,
