,date,open,high,low,close,volume
0,2019-02-19 09:00:00,137.96,138.52,137.94,138.125,41131.0
1,2019-02-19 10:00:00,138.085,138.76,138.04,138.43,77323.0
2,2019-02-19 11:00:00,138.425,138.74,138.0,138.74,44662.0
3,2019-02-19 12:00:00,138.7,138.8959,138.54,138.8399,52827.0
4,2019-02-19 13:00:00,138.8345,138.97,138.76,138.88,49956.0
5,2019-02-19 14:00:00,138.91,139.49,138.91,139.29,75805.0
6,2019-02-19 15:00:00,139.29,139.34,138.86,138.93,234945.0
7,2019-02-19 16:00:00,138.91,138.91,138.91,138.91,7125.0
8,2019-02-20 09:00:00,139.17,139.37,138.77,139.31,35406.0
9,2019-02-20 10:00:00,139.27,139.48,139.05,139.1,109247.0
10,2019-02-20 11:00:00,139.1,139.48,138.53,139.39,151734.0
11,2019-02-20 12:00:00,139.37,139.45,139.045,139.18,142737.0
12,2019-02-20 13:00:00,139.189,139.6,139.14,139.51,92942.0
13,2019-02-20 14:00:00,139.47,139.83,139.1001,139.72,119258.0
14,2019-02-20 15:00:00,139.74,139.91,139.13,139.22,280331.0
15,2019-02-20 16:00:00,139.21,139.355,139.21,139.21,37549.0
16,2019-02-21 09:00:00,139.38,139.4,138.19,139.0,55107.0
17,2019-02-21 10:00:00,139.05,139.12,138.715,138.89,78011.0
18,2019-02-21 11:00:00,138.925,139.4,138.8,139.29,60098.0
19,2019-02-21 12:00:00,139.25,139.45,139.185,139.4,59999.0
20,2019-02-21 13:00:00,139.41,139.65,139.29,139.41,103223.0
21,2019-02-21 14:00:00,139.42,139.63,138.44,138.58,126668.0
22,2019-02-21 15:00:00,138.6,138.65,138.11,138.39,284237.0
23,2019-02-21 16:00:00,138.39,138.39,138.39,138.39,50882.0
24,2019-02-22 09:00:00,138.89,139.65,138.59,139.21,81274.0
25,2019-02-22 10:00:00,139.34,139.57,138.85,139.12,215643.0
26,2019-02-22 11:00:00,139.14,139.46,139.01,139.4,76654.0
27,2019-02-22 12:00:00,139.41,139.7931,139.41,139.725,39512.0
28,2019-02-22 13:00:00,139.735,139.79,139.34,139.38,90922.0
29,2019-02-22 14:00:00,139.4,139.72,139.12,139.41,94481.0
30,2019-02-22 15:00:00,139.4,140.06,139.34,139.99,196481.0
31,2019-02-22 16:00:00,139.98,139.98,139.98,139.98,12643.0
32,2019-02-25 09:00:00,140.55,141.285,140.05,140.24,50715.0
33,2019-02-25 10:00:00,140.25,140.96,140.13,140.64,72563.0
34,2019-02-25 11:00:00,140.64,141.2,140.47,140.93,60441.0
35,2019-02-25 12:00:00,140.935,141.0,140.4474,140.66,46359.0
36,2019-02-25 13:00:00,140.625,140.81,140.625,140.66,44222.0
37,2019-02-25 14:00:00,140.66,141.47,140.66,141.27,123787.0
38,2019-02-25 15:00:00,141.25,141.47,140.89,141.2,183402.0
39,2019-02-25 16:00:00,141.21,141.21,141.21,141.21,34456.0
40,2019-02-26 09:00:00,141.17,142.05,141.17,141.695,56950.0
41,2019-02-26 10:00:00,141.6,141.85,141.48,141.51,131843.0
42,2019-02-26 11:00:00,141.53,142.01,141.44,141.9353,55940.0
43,2019-02-26 12:00:00,141.88,142.15,141.77,141.77,82851.0
44,2019-02-26 13:00:00,141.83,141.895,141.22,141.615,176603.0
45,2019-02-26 14:00:00,141.63,142.18,141.57,141.8784,97632.0
46,2019-02-26 15:00:00,141.9094,142.05,141.56,141.64,221421.0
47,2019-02-26 16:00:00,141.64,141.64,141.64,141.64,81351.0
48,2019-02-27 09:00:00,141.38,142.43,141.38,142.39,85955.0
49,2019-02-27 10:00:00,142.29,142.35,141.57,142.02,83048.0
50,2019-02-27 11:00:00,141.95,142.42,141.89,142.37,50548.0
51,2019-02-27 12:00:00,142.37,142.7,142.34,142.54,88786.0
52,2019-02-27 13:00:00,142.51,142.775,142.34,142.49,60728.0
53,2019-02-27 14:00:00,142.48,142.94,142.47,142.9,71395.0
54,2019-02-27 15:00:00,142.86,143.02,142.44,142.98,190940.0
55,2019-02-27 16:00:00,142.99,142.99,142.99,142.99,9791.0
56,2019-02-28 09:00:00,143.05,143.98,142.78,143.72,87564.0
57,2019-02-28 10:00:00,143.69,143.71,142.72,143.06,89498.0
58,2019-02-28 11:00:00,143.03,143.73,143.025,143.61,104540.0
59,2019-02-28 12:00:00,143.6,144.31,143.565,144.14,99294.0
60,2019-02-28 13:00:00,144.13,144.14,143.96,144.03,62661.0
61,2019-02-28 14:00:00,144.03,144.28,143.97,144.02,192639.0
62,2019-02-28 15:00:00,144.04,144.12,143.03,143.16,432892.0
63,2019-02-28 16:00:00,143.12,143.12,143.12,143.12,47309.0
64,2019-03-01 09:00:00,143.74,144.57,143.39,143.95,57140.0
65,2019-03-01 10:00:00,143.95,143.95,143.09,143.09,44899.0
66,2019-03-01 11:00:00,143.09,143.51,143.03,143.24,58157.0
67,2019-03-01 12:00:00,143.33,143.6,143.16,143.51,28554.0
68,2019-03-01 13:00:00,143.51,144.01,143.45,143.935,34394.0
69,2019-03-01 14:00:00,143.95,144.3725,143.76,143.91,72121.0
70,2019-03-01 15:00:00,143.94,144.0,143.55,143.61,176469.0
71,2019-03-01 16:00:00,143.61,143.61,143.61,143.61,5463.0
72,2019-03-04 09:00:00,144.84,144.94,143.34,143.37,74137.0
73,2019-03-04 10:00:00,143.41,143.64,142.25,142.36,148470.0
74,2019-03-04 11:00:00,142.32,142.98,141.32,141.375,108482.0
75,2019-03-04 12:00:00,141.34,141.68,141.04,141.44,68250.0
76,2019-03-04 13:00:00,141.42,142.2,141.39,142.15,48218.0
77,2019-03-04 14:00:00,142.19,142.52,141.74,142.04,92616.0
78,2019-03-04 15:00:00,142.025,142.1,141.56,142.0,376120.0
79,2019-03-04 16:00:00,142.0,142.0,142.0,142.0,13894.0
80,2019-03-05 09:00:00,141.98,142.43,141.0516,141.26,71830.0
81,2019-03-05 10:00:00,141.27,141.88,141.14,141.61,88491.0
82,2019-03-05 11:00:00,141.64,141.98,141.21,141.26,69916.0
83,2019-03-05 12:00:00,141.245,141.52,141.09,141.46,87018.0
84,2019-03-05 13:00:00,141.46,142.05,141.34,141.72,66085.0
85,2019-03-05 14:00:00,141.72,141.73,141.46,141.64,59449.0
86,2019-03-05 15:00:00,141.64,141.76,141.44,141.6,207704.0
87,2019-03-05 16:00:00,141.6,141.6,141.6,141.6,31176.0
88,2019-03-06 09:00:00,141.62,141.78,140.56,140.75,65635.0
89,2019-03-06 10:00:00,140.665,140.85,140.23,140.51,49272.0
90,2019-03-06 11:00:00,140.48,140.585,139.9,140.01,58250.0
91,2019-03-06 12:00:00,140.06,140.21,139.94,140.12,79230.0
92,2019-03-06 13:00:00,140.12,140.22,139.835,140.15,60125.0
93,2019-03-06 14:00:00,140.15,140.21,139.96,140.09,101113.0
94,2019-03-06 15:00:00,140.09,140.465,140.08,140.28,156327.0
95,2019-03-06 16:00:00,140.28,140.28,140.28,140.28,20090.0
96,2019-03-07 09:00:00,140.52,140.64,138.6934,139.03,48283.0
97,2019-03-07 10:00:00,139.035,139.505,138.92,139.39,114654.0
98,2019-03-07 11:00:00,139.25,140.09,139.19,139.96,87849.0
99,2019-03-07 12:00:00,139.91,140.57,139.77,140.42,53076.0
100,2019-03-07 13:00:00,140.37,140.595,140.07,140.105,49598.0
101,2019-03-07 14:00:00,140.13,140.17,139.56,139.57,86846.0
102,2019-03-07 15:00:00,139.56,139.82,139.41,139.51,269923.0
103,2019-03-07 16:00:00,139.49,139.49,139.49,139.49,13191.0
104,2019-03-07 17:00:00,139.08,139.08,139.08,139.08,1108.0
105,2019-03-08 08:00:00,139.49,139.49,139.49,139.49,3262.0
106,2019-03-08 09:00:00,138.5,138.5,135.97,138.34,111868.0
107,2019-03-08 10:00:00,138.06,138.29,137.41,138.18,108269.0
108,2019-03-08 11:00:00,138.09,138.79,138.08,138.21,70084.0
109,2019-03-08 12:00:00,138.17,138.35,137.93,137.95,53745.0
110,2019-03-08 13:00:00,137.97,138.47,137.91,138.29,48056.0
111,2019-03-08 14:00:00,138.26,138.785,138.15,138.54,39644.0
112,2019-03-08 15:00:00,138.54,138.94,138.3,138.85,137679.0
113,2019-03-08 16:00:00,138.85,138.85,138.85,138.85,11699.0
114,2019-03-11 09:00:00,138.8,139.83,137.51,139.83,135023.0
115,2019-03-11 10:00:00,139.8625,140.0,139.55,139.97,93659.0
116,2019-03-11 11:00:00,139.93,141.11,139.88,141.08,155258.0
117,2019-03-11 12:00:00,141.07,141.51,140.9605,141.31,87689.0
118,2019-03-11 13:00:00,141.34,141.72,141.26,141.57,109751.0
119,2019-03-11 14:00:00,141.59,141.72,141.34,141.67,84143.0
120,2019-03-11 15:00:00,141.67,141.98,141.32,141.45,210450.0
121,2019-03-11 16:00:00,141.45,141.45,141.45,141.45,21066.0
122,2019-03-12 09:00:00,141.77,142.26,141.53,141.585,102223.0
123,2019-03-12 10:00:00,141.57,141.59,141.1478,141.37,57768.0
124,2019-03-12 11:00:00,141.34,141.48,140.99,141.39,74609.0
125,2019-03-12 12:00:00,141.37,141.58,141.13,141.22,63997.0
126,2019-03-12 13:00:00,141.24,141.43,141.1,141.13,74024.0
127,2019-03-12 14:00:00,141.15,141.28,140.87,140.88,75368.0
128,2019-03-12 15:00:00,140.87,140.94,140.04,140.21,363279.0
129,2019-03-12 16:00:00,140.2,140.2,140.2,140.2,6783.0
130,2019-03-13 09:00:00,140.86,141.4,139.93,141.26,64916.0
131,2019-03-13 10:00:00,141.25,141.51,141.07,141.4,62765.0
132,2019-03-13 11:00:00,141.42,141.68,141.29,141.57,63523.0
133,2019-03-13 12:00:00,141.57,141.85,141.38,141.46,60740.0
134,2019-03-13 13:00:00,141.45,141.63,141.43,141.52,56412.0
135,2019-03-13 14:00:00,141.545,141.8,141.05,141.32,78840.0
136,2019-03-13 15:00:00,141.3,141.3,140.46,140.99,260570.0
137,2019-03-13 16:00:00,141.01,141.01,141.01,141.01,38797.0
138,2019-03-13 18:00:00,141.01,141.01,141.01,141.01,728.0
139,2019-03-14 09:00:00,141.0,141.0,139.565,140.21,70272.0
140,2019-03-14 10:00:00,140.27,140.7,139.75,140.61,61675.0
141,2019-03-14 11:00:00,140.62,140.8565,140.49,140.8,56699.0
142,2019-03-14 12:00:00,140.78,140.93,140.61,140.87,70905.0
143,2019-03-14 13:00:00,140.86,140.88,140.35,140.4503,231721.0
144,2019-03-14 14:00:00,140.46,140.5,140.27,140.47,38382.0
145,2019-03-14 15:00:00,140.45,140.65,139.88,140.11,374173.0
146,2019-03-14 16:00:00,140.09,140.09,140.09,140.09,183729.0
147,2019-03-15 09:00:00,139.99,140.5,139.9,140.08,165257.0
148,2019-03-15 10:00:00,140.01,140.79,139.84,140.77,71672.0
149,2019-03-15 11:00:00,140.77,141.03,140.7,141.0,51271.0
150,2019-03-15 12:00:00,141.0,141.59,140.98,141.3894,54071.0
