,date,open,high,low,close,volume,month
0,2019-02-19,113.38,113.74,112.6,112.87,66187.0,2
1,2019-02-19,112.88,113.28,112.62,112.62,277353.0,2
2,2019-02-19,112.65,113.29,112.59,113.24,80193.0,2
3,2019-02-19,113.23,113.54,113.175,113.49,67950.0,2
4,2019-02-19,113.49,114.28,113.39,114.22,64694.0,2
5,2019-02-19,114.165,114.4,114.0,114.2,70025.0,2
6,2019-02-19,114.19,114.19,113.7,113.83,215403.0,2
7,2019-02-19,113.81,113.81,113.81,113.81,83944.0,2
8,2019-02-20,113.81,114.43,113.61,114.09,26224.0,2
9,2019-02-20,113.97,114.46,113.81,113.81,62211.0,2
10,2019-02-20,113.81,114.1,113.72,114.06,61341.0,2
11,2019-02-20,114.06,114.06,113.51,113.72,66745.0,2
12,2019-02-20,113.7,114.22,113.68,114.03,74896.0,2
13,2019-02-20,114.06,114.1,113.23,113.49,143117.0,2
14,2019-02-20,113.51,113.81,113.42,113.8,201783.0,2
15,2019-02-20,113.79,113.79,113.79,113.79,12799.0,2
16,2019-02-21,113.79,113.79,112.46,112.46,74918.0,2
17,2019-02-21,112.45,112.56,111.63,111.69,132331.0,2
18,2019-02-21,111.69,112.02,111.49,111.96,83740.0,2
19,2019-02-21,111.955,112.05,111.87,112.0,73804.0,2
20,2019-02-21,112.03,112.03,111.84,111.92,57526.0,2
21,2019-02-21,111.92,111.94,111.17,111.26,88135.0,2
22,2019-02-21,111.26,111.59,110.77,111.45,344115.0,2
23,2019-02-21,111.45,111.45,111.45,111.45,38040.0,2
24,2019-02-22,111.53,111.63,109.31,109.735,122214.0,2
25,2019-02-22,109.68,110.03,109.39,109.39,178299.0,2
26,2019-02-22,109.37,109.54,108.7,109.03,235913.0,2
27,2019-02-22,109.0172,109.14,108.62,108.845,79951.0,2
28,2019-02-22,108.83,109.3,108.79,109.16,81750.0,2
29,2019-02-22,109.16,109.24,108.67,108.76,143853.0,2
30,2019-02-22,108.74,109.21,108.59,109.1,543582.0,2
31,2019-02-22,109.11,109.11,109.11,109.11,22015.0,2
32,2019-02-25,109.64,110.38,108.65,109.86,83069.0,2
33,2019-02-25,109.82,109.97,108.9,108.98,98510.0,2
34,2019-02-25,108.97,109.24,108.8,109.08,48639.0,2
35,2019-02-25,109.05,109.0952,108.83,108.88,43061.0,2
36,2019-02-25,108.86,108.89,108.32,108.48,56046.0,2
37,2019-02-25,108.49,108.57,107.94,107.98,108584.0,2
38,2019-02-25,108.0,108.21,107.31,107.4,359711.0,2
39,2019-02-25,107.39,107.39,107.39,107.39,21013.0,2
40,2019-02-25,107.02,107.02,107.02,107.02,153.0,2
41,2019-02-26,107.49,107.79,107.19,107.61,40752.0,2
42,2019-02-26,107.52,108.0,107.34,107.76,109564.0,2
43,2019-02-26,107.745,108.77,107.73,108.45,102032.0,2
44,2019-02-26,108.44,108.96,108.38,108.57,78467.0,2
45,2019-02-26,108.59,108.71,108.41,108.515,61032.0,2
46,2019-02-26,108.53,108.85,108.49,108.65,87987.0,2
47,2019-02-26,108.67,108.68,108.0,108.02,145937.0,2
48,2019-02-26,108.0,108.0,108.0,108.0,19951.0,2
49,2019-02-27,107.74,108.085,107.46,107.74,27803.0,2
50,2019-02-27,107.73,107.7926,107.06,107.09,36858.0,2
51,2019-02-27,107.16,107.42,106.93,107.32,95565.0,2
