,1_day_pnl,1_day_open_avg,1_day_mean,1_day_std,1_day_var,4_hour_pnl,4_hour_open_avg,4_hour_mean,4_hour_std,4_hour_var,1_hour_pnl,1_hour_open_avg,1_hour_mean,1_hour_std,1_hour_var,15_minute_pnl,15_minute_open_avg,15_minute_mean,15_minute_std,15_minute_var,5_minute_pnl,5_minute_open_avg,5_minute_mean,5_minute_std,5_minute_var
oxtusd,0.01,0.08,0.0,0.0,0.0,-0.01,0.11,-0.0,0.0,0.0,-0.03,0.14,-0.0,0.0,0.0,-0.01,0.15,-0.0,0.0,0.0,0.01,0.14,0.0,0.0,0.0
repusd,-9.73,2.61,-0.04,0.18,0.03,0.3,1.21,0.0,0.03,0.0,-0.25,1.35,-0.0,0.03,0.0,0.09,1.53,0.0,0.03,0.0,-0.39,1.59,-0.0,0.02,0.0
atomusd,-2.51,8.9,-0.01,0.31,0.1,2.73,10.15,0.01,0.16,0.03,1.46,11.48,0.01,0.14,0.02,0.3,12.34,0.0,0.1,0.01,0.09,12.44,0.0,0.08,0.01
algousd,0.05,0.14,0.0,0.01,0.0,0.07,0.19,0.0,0.0,0.0,0.03,0.22,0.0,0.0,0.0,0.02,0.25,0.0,0.0,0.0,-0.0,0.25,-0.0,0.0,0.0
dntusd,-0.01,0.03,-0.0,0.0,0.0,0.03,0.03,0.0,0.0,0.0,-0.01,0.03,-0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,-0.0,0.04,-0.0,0.0,0.0
batusd,0.1,0.21,0.0,0.01,0.0,0.01,0.25,0.0,0.0,0.0,0.12,0.29,0.0,0.0,0.0,-0.01,0.32,-0.0,0.0,0.0,0.0,0.32,0.0,0.0,0.0
cvcusd,-0.04,0.09,-0.0,0.01,0.0,-0.03,0.1,-0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.0,-0.0,0.13,-0.0,0.0,0.0
manausd,0.2,0.41,0.0,0.02,0.0,-0.15,0.5,-0.0,0.01,0.0,0.1,0.6,0.0,0.01,0.0,-0.05,0.66,-0.0,0.01,0.0,0.03,0.66,0.0,0.0,0.0
kncusd,0.22,0.66,0.0,0.03,0.0,-0.07,0.64,-0.0,0.01,0.0,0.02,0.73,0.0,0.01,0.0,-0.14,0.8,-0.0,0.01,0.0,-0.1,0.79,-0.0,0.0,0.0
loomusd,-0.02,0.05,-0.0,0.0,0.0,-0.04,0.06,-0.0,0.0,0.0,0.02,0.07,0.0,0.0,0.0,-0.01,0.07,-0.0,0.0,0.0,-0.0,0.07,-0.0,0.0,0.0
gntusd,-0.09,0.24,-0.0,0.01,0.0,0.27,0.23,0.0,0.0,0.0,0.12,0.21,0.0,0.0,0.0,0.07,0.21,0.0,0.0,0.0,-0.01,0.21,-0.0,0.0,0.0
nuusd,0.01,0.15,0.0,0.01,0.0,-0.06,0.13,-0.0,0.01,0.0,-0.02,0.17,-0.0,0.0,0.0,-0.04,0.17,-0.0,0.0,0.0,-0.01,0.16,-0.0,0.0,0.0
mkrusd,1259.81,1452.1,5.0,47.07,2215.84,36.22,2047.22,0.14,26.3,691.58,-72.06,2109.28,-0.29,19.0,360.98,132.77,2094.35,0.53,13.29,176.75,109.77,2099.01,0.44,10.19,103.74
nmrusd,-18.49,16.48,-0.07,1.02,1.04,-14.47,27.34,-0.06,0.84,0.7,3.86,32.97,0.02,0.51,0.26,2.65,34.79,0.01,0.31,0.1,-3.28,34.97,-0.01,0.23,0.05
omgusd,-0.48,0.62,-0.0,0.03,0.0,0.38,0.73,0.0,0.03,0.0,-0.42,0.94,-0.0,0.02,0.0,-0.25,1.16,-0.0,0.01,0.0,-0.01,1.15,-0.0,0.01,0.0
rlcusd,-1.77,1.55,-0.01,0.1,0.01,-0.76,2.91,-0.0,0.1,0.01,-0.63,3.86,-0.0,0.06,0.0,-0.71,3.72,-0.0,0.03,0.0,0.34,3.59,0.0,0.02,0.0
bntusd,-0.39,0.6,-0.0,0.06,0.0,-0.31,0.77,-0.0,0.02,0.0,-0.01,0.87,-0.0,0.01,0.0,-0.1,0.92,-0.0,0.01,0.0,-0.2,0.92,-0.0,0.01,0.0
snxusd,1.77,2.88,0.01,0.14,0.02,0.82,3.6,0.0,0.08,0.01,0.02,4.22,0.0,0.06,0.0,-0.46,4.42,-0.0,0.04,0.0,0.39,4.34,0.0,0.03,0.0
compusd,-38.62,53.24,-0.15,2.78,7.7,-29.52,63.21,-0.12,1.79,3.22,8.28,84.97,0.03,1.46,2.13,7.74,89.87,0.03,0.81,0.66,10.05,89.21,0.04,0.7,0.48
umausd,2.25,2.18,0.01,0.22,0.05,1.84,4.38,0.01,0.12,0.01,-0.1,4.22,-0.0,0.06,0.0,-0.02,4.3,-0.0,0.05,0.0,-0.45,4.25,-0.0,0.03,0.0
yfiusd,-2579.64,6981.24,-10.24,430.65,185459.71,-2330.96,7752.3,-9.25,197.81,39130.62,252.06,8885.7,1.0,133.57,17839.89,-1252.52,9584.49,-4.97,99.02,9804.16,-365.96,10009.94,-1.45,98.73,9748.31
renusd,-0.02,0.06,-0.0,0.0,0.0,-0.01,0.07,-0.0,0.0,0.0,0.03,0.08,0.0,0.0,0.0,0.01,0.09,0.0,0.0,0.0,0.01,0.09,0.0,0.0,0.0
balusd,0.41,3.91,0.0,0.12,0.02,-1.23,4.12,-0.0,0.08,0.01,0.17,5.02,0.0,0.06,0.0,-0.08,5.24,-0.0,0.05,0.0,0.31,5.32,0.0,0.03,0.0
wbtcusd,32995.97,36008.29,130.94,963.87,929039.45,22284.99,49592.35,88.43,707.69,500829.19,13639.12,59519.88,54.12,562.33,316213.99,3779.86,64969.9,15.0,423.94,179725.57,-1262.9,66015.4,-5.01,344.84,118914.09
aaveusd,-39.5,81.6,-0.16,3.2,10.21,-16.23,94.08,-0.06,1.82,3.33,-2.47,107.66,-0.01,1.31,1.71,-7.17,113.07,-0.03,0.91,0.84,7.39,113.13,0.03,0.69,0.47
filusd,4.81,4.64,0.02,0.25,0.06,4.04,6.41,0.02,0.19,0.04,1.05,8.66,0.0,0.15,0.02,-0.97,10.05,-0.0,0.11,0.01,-1.13,9.75,-0.0,0.07,0.0
adausd,-0.4,0.39,-0.0,0.02,0.0,-0.21,0.57,-0.0,0.01,0.0,0.04,0.67,0.0,0.01,0.0,0.2,0.75,0.0,0.01,0.0,0.17,0.74,0.0,0.01,0.0
grtusd,-0.16,0.14,-0.0,0.01,0.0,0.12,0.21,0.0,0.01,0.0,-0.03,0.3,-0.0,0.0,0.0,-0.08,0.31,-0.0,0.0,0.0,-0.03,0.3,-0.0,0.0,0.0
solusd,-109.64,54.08,-0.44,3.16,9.98,41.14,106.69,0.16,2.29,5.26,-22.89,120.02,-0.09,1.7,2.88,1.11,130.35,0.0,1.16,1.34,3.99,130.06,0.02,1.01,1.03
lrcusd,0.13,0.22,0.0,0.01,0.0,-0.08,0.26,-0.0,0.01,0.0,0.05,0.3,0.0,0.01,0.0,0.14,0.34,0.0,0.0,0.0,0.1,0.35,0.0,0.0,0.0
cgldusd,0.51,0.57,0.0,0.03,0.0,0.3,0.79,0.0,0.02,0.0,0.15,1.03,0.0,0.02,0.0,-0.18,1.09,-0.0,0.01,0.0,0.1,1.05,0.0,0.01,0.0
ctsiusd,-0.2,0.18,-0.0,0.01,0.0,0.11,0.3,0.0,0.01,0.0,0.02,0.38,0.0,0.01,0.0,-0.02,0.4,-0.0,0.0,0.0,-0.06,0.38,-0.0,0.0,0.0
sklusd,0.05,0.04,0.0,0.0,0.0,0.02,0.08,0.0,0.0,0.0,-0.01,0.1,-0.0,0.0,0.0,0.01,0.11,0.0,0.0,0.0,-0.0,0.11,-0.0,0.0,0.0
sushiusd,-0.98,0.91,-0.0,0.05,0.0,0.53,1.28,0.0,0.04,0.0,-0.08,1.62,-0.0,0.03,0.0,0.0,1.73,0.0,0.02,0.0,-0.16,1.75,-0.0,0.01,0.0
ankrusd,0.02,0.02,0.0,0.0,0.0,-0.01,0.03,-0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0
1inchusd,-0.21,0.35,-0.0,0.02,0.0,-0.14,0.45,-0.0,0.01,0.0,0.01,0.53,0.0,0.01,0.0,0.02,0.58,0.0,0.01,0.0,-0.02,0.58,-0.0,0.0,0.0
enjusd,0.21,0.3,0.0,0.01,0.0,0.14,0.35,0.0,0.01,0.0,0.15,0.45,0.0,0.01,0.0,0.06,0.55,0.0,0.01,0.0,0.05,0.54,0.0,0.0,0.0
nknusd,-0.03,0.1,-0.0,0.0,0.0,-0.01,0.12,-0.0,0.0,0.0,0.02,0.14,0.0,0.0,0.0,0.01,0.15,0.0,0.0,0.0,0.02,0.15,0.0,0.0,0.0
ognusd,-0.05,0.12,-0.0,0.01,0.0,-0.02,0.17,-0.0,0.0,0.0,-0.02,0.2,-0.0,0.0,0.0,-0.0,0.21,-0.0,0.0,0.0,0.0,0.21,0.0,0.0,0.0
chzusd,0.06,0.08,0.0,0.0,0.0,0.03,0.12,0.0,0.0,0.0,0.01,0.14,0.0,0.0,0.0,-0.04,0.15,-0.0,0.0,0.0,-0.02,0.15,-0.0,0.0,0.0
rlyusd,0.0,0.01,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0
trbusd,-89.04,74.31,-0.35,8.47,71.82,13.26,116.95,0.05,2.64,6.95,-22.28,116.25,-0.09,1.71,2.91,-28.21,116.95,-0.11,1.21,1.47,-23.13,112.89,-0.09,1.18,1.39
bondusd,0.17,3.29,0.0,0.33,0.11,-0.23,3.5,-0.0,0.08,0.01,0.66,3.86,0.0,0.04,0.0,1.38,4.09,0.01,0.03,0.0,1.14,4.06,0.0,0.03,0.0
keepusd,-0.04,0.11,-0.0,0.01,0.0,0.02,0.14,0.0,0.0,0.0,0.02,0.15,0.0,0.0,0.0,0.07,0.16,0.0,0.0,0.0,0.03,0.16,0.0,0.0,0.0
mlnusd,2.03,16.92,0.01,0.7,0.49,3.12,18.4,0.01,0.34,0.11,-0.73,20.34,-0.0,0.26,0.07,1.37,21.89,0.01,0.21,0.04,1.4,22.26,0.01,0.15,0.02
truusd,-0.07,0.04,-0.0,0.0,0.0,-0.04,0.06,-0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.01,0.08,0.0,0.0,0.0,0.01,0.08,0.0,0.0,0.0
ampusd,-25.58,0.08,-0.1,0.37,0.14,6.44,0.07,0.03,0.38,0.15,-2.13,0.06,-0.01,0.41,0.17,-13.95,0.05,-0.06,0.38,0.15,0.0,0.0,0.0,0.0,0.0
forthusd,-1.56,3.12,-0.01,0.14,0.02,-0.5,3.62,-0.0,0.07,0.0,0.5,4.37,0.0,0.05,0.0,0.78,4.55,0.0,0.03,0.0,0.35,4.43,0.0,0.02,0.0
ghstusd,-0.17,0.9,-0.0,0.02,0.0,-0.15,0.99,-0.0,0.02,0.0,0.16,1.06,0.0,0.01,0.0,0.15,1.09,0.0,0.01,0.0,0.01,1.06,0.0,0.0,0.0
tbtcusd,-4193.7,27778.75,-45.09,828.97,687196.77,1072.4,28149.57,4.26,550.21,302728.5,1672.9,29832.34,6.64,527.89,278670.66,4350.2,31015.86,17.26,470.45,221318.7,5781.5,31487.37,22.94,486.27,236462.93
maskusd,0.92,3.33,0.0,0.16,0.03,1.06,3.84,0.0,0.09,0.01,-0.0,4.61,-0.0,0.07,0.01,0.34,4.74,0.0,0.04,0.0,0.34,4.67,0.0,0.03,0.0
audiousd,-0.03,0.16,-0.0,0.0,0.0,-0.01,0.15,-0.0,0.0,0.0,-0.03,0.16,-0.0,0.0,0.0,-0.02,0.17,-0.0,0.0,0.0,-0.0,0.17,-0.0,0.0,0.0
gtcusd,0.84,1.1,0.0,0.05,0.0,-0.71,1.39,-0.0,0.04,0.0,0.48,1.77,0.0,0.04,0.0,0.05,2.0,0.0,0.03,0.0,3.13,2.11,0.01,0.02,0.0
mirusd,0.05,0.02,0.0,0.0,0.0,0.05,0.02,0.0,0.0,0.0,0.15,0.04,0.0,0.01,0.0,-0.04,0.07,-0.0,0.01,0.0,0.09,0.12,0.0,0.01,0.0
axsusd,-3.7,6.32,-0.01,0.27,0.07,-1.86,7.96,-0.01,0.17,0.03,-1.29,9.41,-0.01,0.15,0.02,-0.69,10.46,-0.0,0.1,0.01,-0.97,10.4,-0.0,0.08,0.01
lptusd,8.33,6.95,0.03,0.63,0.4,5.9,10.6,0.02,0.51,0.26,1.36,14.18,0.01,0.24,0.06,-1.38,14.07,-0.01,0.14,0.02,1.14,14.05,0.0,0.11,0.01
flowusd,-0.17,0.66,-0.0,0.03,0.0,-0.43,0.89,-0.0,0.02,0.0,-0.11,1.11,-0.0,0.02,0.0,0.01,1.21,0.0,0.01,0.0,0.14,1.2,0.0,0.01,0.0
farmusd,19.4,31.53,0.08,1.54,2.37,-4.58,43.5,-0.02,0.67,0.45,-2.92,47.71,-0.01,0.44,0.2,-8.77,50.24,-0.03,0.27,0.07,-3.61,49.73,-0.01,0.23,0.05
daiusd,-0.0,1.0,-0.0,0.0,0.0,-0.0,1.0,-0.0,0.0,0.0,0.04,1.0,0.0,0.0,0.0,0.08,1.0,0.0,0.0,0.0,0.06,1.0,0.0,0.0,0.0
