,1_day_pnl,1_day_open_avg,1_day_mean,1_day_std,1_day_var,4_hour_pnl,4_hour_open_avg,4_hour_mean,4_hour_std,4_hour_var,1_hour_pnl,1_hour_open_avg,1_hour_mean,1_hour_std,1_hour_var
cdns,89.18,175.65,0.35,2.86,8.15,26.81,166.13,0.11,1.75,3.06,23.09,150.44,0.09,1.04,1.07
czr,-4.31,45.45,-0.02,1.51,2.27,-15.91,43.88,-0.06,0.92,0.84,10.4,46.26,0.04,0.62,0.38
cpb,-0.6,51.39,-0.0,0.57,0.32,-2.17,48.45,-0.01,0.4,0.16,0.39,46.85,0.0,0.3,0.09
cof,34.95,103.06,0.14,2.22,4.94,-1.45,106.72,-0.01,1.28,1.63,8.54,109.07,0.03,0.84,0.7
cah,18.67,70.95,0.07,1.04,1.08,8.18,58.79,0.03,0.67,0.45,-1.89,55.76,-0.01,0.36,0.13
kmx,20.29,75.78,0.08,2.01,4.05,-20.95,89.73,-0.08,1.54,2.38,-6.91,93.99,-0.03,0.81,0.66
ccl,2.12,9.8,0.01,0.36,0.13,-0.14,9.59,-0.0,0.21,0.04,-0.85,9.27,-0.0,0.13,0.02
carr,13.4,46.25,0.05,0.79,0.62,-6.81,40.02,-0.03,0.45,0.2,5.18,37.63,0.02,0.27,0.07
ctlt,-5.95,72.22,-0.02,1.89,3.56,-68.69,81.33,-0.27,1.51,2.27,8.68,107.18,0.03,0.77,0.59
cat,-16.66,213.11,-0.07,3.31,10.99,-9.76,194.38,-0.04,1.91,3.64,-1.6,209.54,-0.01,1.28,1.64
cboe,8.6,123.7,0.03,1.86,3.47,-2.32,117.11,-0.01,1.22,1.48,15.61,112.04,0.06,0.53,0.28
cbre,14.64,77.23,0.06,1.27,1.62,-4.59,78.23,-0.02,0.93,0.87,-3.66,76.88,-0.01,0.49,0.24
cdw,39.52,178.26,0.16,2.6,6.76,-7.6,168.97,-0.03,1.76,3.11,6.56,166.07,0.03,0.97,0.95
ce,-11.56,111.53,-0.05,2.21,4.88,-56.61,108.38,-0.22,1.56,2.44,-27.8,129.97,-0.11,0.9,0.82
cnc,20.43,79.1,0.08,1.28,1.63,-4.61,85.71,-0.02,0.96,0.92,-5.1,83.09,-0.02,0.66,0.43
cnp,0.22,29.9,0.0,0.4,0.16,2.67,30.81,0.01,0.29,0.08,-0.52,31.16,-0.0,0.15,0.02
cern,4.42,82.42,0.02,0.7,0.49,0.47,78.06,0.0,0.49,0.24,3.82,78.48,0.02,0.31,0.1
cf,-21.67,90.49,-0.09,2.37,5.6,19.53,97.77,0.08,1.54,2.37,3.52,86.2,0.01,0.97,0.93
crl,49.9,217.15,0.2,4.67,21.79,37.85,216.05,0.15,3.46,12.01,19.64,224.14,0.08,1.68,2.81
schw,-4.52,69.35,-0.02,1.43,2.06,4.46,70.91,0.02,0.91,0.83,15.95,70.96,0.06,0.4,0.16
chtr,-54.54,388.93,-0.22,7.92,62.68,58.96,411.81,0.23,6.07,36.84,-33.63,464.56,-0.13,3.42,11.71
cvx,21.72,164.8,0.09,2.37,5.6,28.0,153.68,0.11,1.57,2.46,24.29,163.4,0.1,1.04,1.08
cmg,-671.63,1562.53,-2.67,25.1,630.22,472.6,1404.74,1.88,21.21,449.9,-184.68,1426.64,-0.73,13.32,177.3
cb,17.8,202.1,0.07,2.51,6.32,-6.0,193.67,-0.02,1.78,3.17,5.2,200.91,0.02,1.03,1.07
chd,4.3,84.37,0.02,0.94,0.89,18.51,89.94,0.07,0.86,0.74,-9.19,89.55,-0.04,0.47,0.22
ci,54.7,287.07,0.22,3.96,15.7,35.54,269.36,0.14,2.28,5.2,13.65,258.84,0.05,1.48,2.2
cinf,-10.95,108.2,-0.04,1.88,3.54,-13.58,109.46,-0.05,1.28,1.64,-8.09,121.88,-0.03,0.6,0.36
ctas,-57.5,425.78,-0.23,5.34,28.47,4.94,396.05,0.02,3.65,13.31,-20.08,374.85,-0.08,2.17,4.71
csco,-0.11,46.26,-0.0,0.56,0.31,0.24,44.08,0.0,0.59,0.35,3.71,47.98,0.01,0.51,0.26
c,2.46,48.01,0.01,0.74,0.55,-2.55,49.57,-0.01,0.48,0.23,7.06,50.58,0.03,0.25,0.06
cfg,-2.21,36.9,-0.01,0.72,0.52,-2.12,36.88,-0.01,0.43,0.18,2.08,36.72,0.01,0.21,0.05
ctxs,7.03,99.1,0.03,1.43,2.04,18.24,101.93,0.07,1.71,2.91,-9.65,103.25,-0.04,1.26,1.58
clx,12.89,146.88,0.05,2.08,4.33,7.99,143.2,0.03,1.75,3.05,3.89,148.87,0.02,1.17,1.36
cme,18.38,186.58,0.07,2.46,6.05,62.23,204.2,0.25,2.39,5.72,-2.5,198.32,-0.01,1.19,1.43
cms,10.92,63.03,0.04,0.85,0.72,-11.58,65.8,-0.05,0.64,0.42,-1.14,67.68,-0.0,0.3,0.09
ko,4.63,61.51,0.02,0.56,0.32,-0.37,62.54,-0.0,0.35,0.12,-2.75,61.52,-0.01,0.23,0.06
ctsh,-16.31,62.95,-0.06,0.93,0.87,-9.89,68.52,-0.04,0.62,0.39,2.2,71.48,0.01,0.39,0.15
cl,-1.42,76.46,-0.01,0.78,0.61,-3.08,78.43,-0.01,0.61,0.37,-2.29,77.14,-0.01,0.35,0.12
cmcsa,2.43,37.1,0.01,0.59,0.35,-7.3,39.79,-0.03,0.38,0.15,-4.68,41.96,-0.02,0.19,0.04
cma,24.74,67.36,0.1,1.5,2.26,-14.64,75.09,-0.06,0.89,0.79,6.98,76.92,0.03,0.43,0.19
cag,0.46,35.72,0.0,0.37,0.14,2.37,33.83,0.01,0.27,0.08,0.95,32.7,0.0,0.17,0.03
cop,-4.23,108.78,-0.02,2.2,4.84,2.35,97.77,0.01,1.39,1.94,20.59,112.29,0.08,0.88,0.78
ed,-4.77,94.47,-0.02,1.16,1.35,1.23,95.7,0.0,0.87,0.76,1.75,96.11,0.01,0.48,0.23
stz,9.82,234.66,0.04,3.09,9.56,15.75,244.67,0.06,2.26,5.09,10.76,244.83,0.04,1.4,1.95
coo,68.28,325.42,0.27,4.8,23.07,-17.45,305.29,-0.07,3.31,10.97,-11.38,328.88,-0.05,2.01,4.02
cprt,-16.05,31.91,-0.06,0.48,0.23,3.45,29.48,0.01,0.31,0.1,-5.79,28.42,-0.02,0.13,0.02
glw,-6.23,33.54,-0.02,0.49,0.24,8.12,34.15,0.03,0.43,0.18,-2.16,35.15,-0.01,0.33,0.11
ctva,-0.48,60.19,-0.0,0.91,0.82,2.59,58.18,0.01,0.65,0.43,-1.74,53.66,-0.01,0.3,0.09
cost,107.0,494.96,0.42,6.87,47.13,39.7,489.69,0.16,4.94,24.38,-6.03,459.97,-0.02,3.32,11.03
cci,-39.34,148.19,-0.16,2.48,6.17,56.27,165.43,0.22,1.83,3.35,4.89,176.24,0.02,1.25,1.56
csx,0.56,30.67,0.0,0.42,0.17,3.39,31.15,0.01,0.26,0.07,3.12,30.38,0.01,0.15,0.02
cmi,-25.61,227.24,-0.1,3.34,11.13,-29.18,207.99,-0.12,2.07,4.27,-11.88,202.62,-0.05,1.28,1.63
cvs,19.48,90.49,0.08,1.09,1.18,7.34,96.04,0.03,0.79,0.62,-4.89,96.96,-0.02,0.52,0.27
dhi,57.55,84.27,0.23,1.47,2.15,15.39,72.7,0.06,0.93,0.87,9.24,69.31,0.04,0.57,0.33
dhr,2.6,260.42,0.01,4.01,16.05,-41.89,268.71,-0.17,2.78,7.74,22.89,253.62,0.09,1.34,1.79
dri,43.97,137.24,0.17,2.01,4.05,1.84,123.9,0.01,1.63,2.66,-16.63,129.63,-0.07,0.98,0.96
dva,-13.51,83.71,-0.05,1.78,3.18,-7.21,88.77,-0.03,1.37,1.88,12.41,89.43,0.05,1.03,1.06
de,-5.87,380.37,-0.02,6.39,40.89,38.0,337.89,0.15,3.61,13.03,-6.68,339.47,-0.03,2.33,5.44
dal,1.02,34.12,0.0,0.71,0.5,9.19,32.22,0.04,0.41,0.17,-11.95,32.19,-0.05,0.27,0.08
xray,-4.99,35.07,-0.02,0.66,0.44,-6.35,35.52,-0.03,0.47,0.22,0.36,37.78,0.0,0.25,0.06
dvn,-15.54,61.62,-0.06,1.52,2.31,7.11,62.57,0.03,0.92,0.86,2.81,57.93,0.01,0.48,0.23
dxcm,30.74,101.08,0.12,2.23,4.97,50.46,89.94,0.2,1.84,3.38,12.89,80.92,0.05,1.19,1.4
fang,-12.23,137.14,-0.05,2.97,8.84,-7.34,129.21,-0.03,2.09,4.37,-9.13,145.12,-0.04,1.1,1.22
dlr,-0.9,110.64,-0.0,2.09,4.35,-37.62,114.72,-0.15,1.54,2.37,5.15,128.48,0.02,0.87,0.75
dfs,30.83,102.25,0.12,1.87,3.49,-9.62,102.39,-0.04,1.3,1.69,12.4,106.08,0.05,0.85,0.72
disca,18.98,29.06,0.08,0.84,0.71,3.61,29.98,0.01,0.29,0.08,-3.82,31.2,-0.02,0.16,0.03
disck,14.7,27.43,0.06,0.79,0.62,-12.22,28.51,-0.05,0.46,0.21,-8.12,31.3,-0.03,0.41,0.17
dish,-9.5,14.54,-0.04,0.47,0.23,-2.76,15.53,-0.01,0.29,0.09,-1.29,17.36,-0.01,0.19,0.04
dg,-30.84,235.12,-0.12,3.1,9.61,8.14,244.44,0.03,2.01,4.05,22.4,242.82,0.09,1.21,1.46
dltr,-41.41,150.62,-0.16,2.46,6.05,19.86,159.37,0.08,2.54,6.43,1.91,151.12,0.01,1.79,3.21
d,-22.62,67.4,-0.09,0.93,0.87,-14.38,79.49,-0.06,0.67,0.44,6.48,77.86,0.03,0.38,0.15
dpz,-52.62,352.08,-0.21,6.25,39.12,-38.03,374.46,-0.15,4.62,21.34,70.61,355.96,0.28,2.56,6.57
dov,4.73,135.88,0.02,1.91,3.66,-1.91,127.61,-0.01,1.32,1.74,-6.68,128.43,-0.03,0.7,0.5
dow,-1.64,52.57,-0.01,0.76,0.58,-16.07,54.82,-0.06,0.47,0.22,-18.2,64.07,-0.07,0.37,0.14
dte,-24.36,118.5,-0.1,1.52,2.32,-28.06,126.64,-0.11,1.16,1.35,-4.74,127.27,-0.02,0.56,0.31
duk,-17.06,101.11,-0.07,1.24,1.53,-19.45,107.77,-0.08,0.82,0.68,9.32,107.23,0.04,0.48,0.23
dre,-0.02,55.3,-0.0,0.89,0.79,9.3,54.63,0.04,0.41,0.17,0.42,51.14,0.0,0.16,0.03
dd,14.99,65.08,0.06,0.86,0.74,-8.6,59.61,-0.03,0.69,0.47,-6.02,63.52,-0.02,0.41,0.17
dxc,-4.78,27.54,-0.02,0.68,0.46,-6.51,30.22,-0.03,0.59,0.35,-3.55,29.8,-0.01,0.28,0.08
emn,1.86,86.53,0.01,1.48,2.2,-19.71,92.25,-0.08,1.23,1.51,8.81,100.13,0.03,0.67,0.45
etn,26.81,152.71,0.11,2.2,4.86,-1.85,138.98,-0.01,1.32,1.75,-11.07,137.12,-0.04,0.83,0.69
ebay,8.77,44.05,0.03,0.78,0.61,3.08,45.83,0.01,0.58,0.33,11.41,51.74,0.05,0.48,0.23
ecl,20.39,157.3,0.08,2.42,5.83,-4.74,161.38,-0.02,1.58,2.48,4.4,158.72,0.02,0.98,0.96
eix,1.64,66.06,0.01,1.0,1.0,-11.09,66.59,-0.04,0.69,0.48,-8.25,66.13,-0.03,0.39,0.15
ew,-19.21,85.49,-0.08,1.4,1.97,-2.71,95.86,-0.01,1.11,1.24,6.24,94.27,0.02,0.59,0.35
ea,-17.71,124.64,-0.07,1.44,2.08,18.83,127.02,0.07,1.46,2.13,-6.67,121.61,-0.03,1.01,1.02
emr,-0.02,86.16,-0.0,1.12,1.26,-7.99,83.82,-0.03,0.75,0.56,-1.45,84.57,-0.01,0.45,0.2
enph,-10.1,241.08,-0.04,8.12,65.98,101.43,244.44,0.4,4.66,21.76,18.19,201.22,0.07,2.63,6.9
etr,17.15,110.26,0.07,1.54,2.36,-16.77,112.74,-0.07,1.13,1.27,2.21,114.18,0.01,0.59,0.35
eog,11.83,121.99,0.05,2.5,6.25,13.75,115.91,0.05,1.75,3.06,11.41,132.82,0.05,1.09,1.19
efx,61.06,195.39,0.24,3.39,11.48,-0.32,188.02,-0.0,2.3,5.3,9.05,188.43,0.04,1.16,1.36
eqix,215.89,666.15,0.86,10.51,110.4,-54.74,638.02,-0.22,7.07,49.92,-87.79,661.19,-0.35,4.53,20.49
eqr,8.83,66.26,0.04,0.95,0.91,-14.84,73.47,-0.06,0.72,0.53,-1.67,73.52,-0.01,0.41,0.16
ess,-27.75,237.42,-0.11,3.6,12.98,61.1,261.97,0.24,2.75,7.58,8.82,270.18,0.04,1.59,2.54
el,42.62,242.72,0.17,4.26,18.15,-28.72,237.45,-0.11,2.99,8.95,27.42,258.22,0.11,1.35,1.82
etsy,54.81,107.13,0.22,3.27,10.71,39.62,92.0,0.16,1.76,3.09,-4.97,77.3,-0.02,0.95,0.91
evrg,-1.43,63.03,-0.01,0.88,0.78,9.51,65.85,0.04,0.64,0.41,-1.21,66.34,-0.0,0.3,0.09
es,-20.58,82.17,-0.08,1.09,1.19,-16.65,85.82,-0.07,0.82,0.68,-6.01,86.89,-0.02,0.46,0.21
re,38.52,291.64,0.15,4.59,21.1,-34.07,286.23,-0.14,2.88,8.3,-0.96,289.59,-0.0,1.87,3.48
exc,-5.2,42.34,-0.02,0.6,0.36,-3.65,45.25,-0.01,0.42,0.18,-4.44,46.43,-0.02,0.24,0.06
expe,-15.07,100.99,-0.06,2.5,6.24,-11.23,102.62,-0.04,1.56,2.44,-29.89,110.79,-0.12,1.04,1.09
expd,-20.35,104.75,-0.08,1.66,2.76,9.68,101.04,0.04,1.09,1.18,-5.1,102.58,-0.02,0.67,0.44
exr,-4.62,166.99,-0.02,2.68,7.18,-17.37,180.38,-0.07,2.16,4.66,-7.4,170.94,-0.03,1.02,1.04
xom,28.22,103.11,0.11,1.65,2.73,-1.64,91.05,-0.01,1.05,1.11,-13.3,96.47,-0.05,0.68,0.47
ffiv,34.88,149.01,0.14,2.39,5.73,-0.13,159.21,-0.0,2.23,4.97,-5.09,159.57,-0.02,1.04,1.07
fb,17.71,307.06,0.07,5.46,29.82,38.37,333.55,0.15,2.27,5.17,-7.72,316.48,-0.03,1.21,1.46
fast,-4.08,50.85,-0.02,0.77,0.59,-9.21,51.96,-0.04,0.55,0.31,-3.37,53.11,-0.01,0.33,0.11
frt,-23.3,101.75,-0.09,1.49,2.21,-20.58,102.08,-0.08,1.06,1.12,-14.88,105.7,-0.06,0.66,0.44
fdx,81.97,201.1,0.33,3.18,10.11,-20.96,217.16,-0.08,2.76,7.65,1.97,204.39,0.01,1.42,2.02
fis,-9.61,76.16,-0.04,1.59,2.53,23.79,85.19,0.09,1.23,1.51,5.54,94.78,0.02,0.59,0.34
fitb,-9.28,33.09,-0.04,0.66,0.43,3.34,34.39,0.01,0.35,0.13,-2.36,34.52,-0.01,0.23,0.05
fe,-4.81,39.76,-0.02,0.54,0.29,-9.05,40.95,-0.04,0.39,0.15,3.7,42.89,0.01,0.23,0.05
frc,-89.42,155.89,-0.35,3.4,11.54,-33.23,161.84,-0.13,2.2,4.86,36.64,176.27,0.15,1.34,1.8
fisv,-20.47,99.86,-0.08,1.64,2.69,-0.38,101.63,-0.0,1.08,1.17,4.85,106.2,0.02,0.61,0.37
flt,14.13,206.16,0.06,3.47,12.04,-15.7,211.82,-0.06,2.57,6.6,-3.57,229.08,-0.01,1.54,2.37
flir,-5.12,46.43,-0.03,0.61,0.37,3.97,37.0,0.02,0.45,0.21,2.96,35.5,0.01,0.2,0.04
fls,-2.81,31.28,-0.01,0.56,0.31,1.65,29.45,0.01,0.37,0.14,0.28,29.87,0.0,0.19,0.04
fmc,-10.57,118.1,-0.04,1.7,2.89,4.31,110.43,0.02,1.3,1.68,10.86,111.06,0.04,0.68,0.46
