,1_day_pnl,1_day_open_avg,1_day_mean,1_day_std,1_day_var,4_hour_pnl,4_hour_open_avg,4_hour_mean,4_hour_std,4_hour_var,1_hour_pnl,1_hour_open_avg,1_hour_mean,1_hour_std,1_hour_var
gnrc,-50.72,156.79,-0.2,5.77,33.28,-157.78,195.61,-0.63,4.32,18.65,0.91,248.07,0.0,2.71,7.34
gd,4.15,230.29,0.02,2.7,7.26,-4.35,225.22,-0.02,2.06,4.23,10.83,222.89,0.04,1.14,1.31
ge,-49.67,79.83,-0.2,1.26,1.58,-21.74,72.75,-0.09,0.92,0.86,-1.35,92.53,-0.01,0.4,0.16
gis,9.92,79.24,0.04,0.8,0.63,11.36,73.88,0.05,0.51,0.26,-7.78,69.9,-0.03,0.32,0.1
gm,-4.66,36.44,-0.02,0.71,0.51,-0.79,34.84,-0.0,0.39,0.16,-4.73,34.21,-0.02,0.27,0.07
gpc,21.64,161.43,0.09,2.06,4.23,-29.05,147.73,-0.12,1.29,1.66,-16.62,134.49,-0.07,0.62,0.38
gild,-17.09,74.35,-0.07,0.93,0.86,2.95,62.02,0.01,0.46,0.21,-3.76,60.92,-0.01,0.2,0.04
gl,-11.16,110.38,-0.04,1.39,1.93,-10.44,107.31,-0.04,0.92,0.84,1.39,100.56,0.01,0.38,0.14
gpn,4.76,112.01,0.02,2.22,4.94,3.58,121.66,0.01,1.43,2.05,0.68,120.97,0.0,0.81,0.65
gs,77.23,334.35,0.31,4.57,20.85,17.95,305.14,0.07,3.02,9.15,15.75,320.59,0.06,1.83,3.34
gww,-124.11,576.88,-0.49,8.6,73.98,-70.21,506.96,-0.28,5.15,26.47,-5.11,473.88,-0.02,2.4,5.75
hal,4.1,33.76,0.02,0.83,0.69,10.81,31.84,0.04,0.47,0.22,8.8,38.58,0.03,0.31,0.1
hbi,-2.79,7.64,-0.01,0.21,0.04,-2.12,8.85,-0.01,0.14,0.02,3.28,9.93,0.01,0.11,0.01
hig,7.93,70.07,0.03,0.98,0.96,-6.61,67.91,-0.03,0.63,0.4,2.99,70.13,0.01,0.38,0.14
has,-14.31,67.03,-0.06,1.24,1.53,14.15,76.83,0.06,0.87,0.75,-7.34,82.69,-0.03,0.47,0.22
hca,67.92,228.61,0.27,3.56,12.66,-9.22,199.08,-0.04,2.9,8.39,-21.42,198.33,-0.08,1.36,1.84
peak,9.36,23.39,0.04,0.37,0.14,-3.8,25.07,-0.02,0.27,0.07,-4.73,26.37,-0.02,0.13,0.02
hsic,5.45,77.97,0.02,1.05,1.09,7.46,76.74,0.03,0.76,0.57,-6.75,81.29,-0.03,0.44,0.2
hsy,31.02,232.7,0.12,2.49,6.21,24.43,222.85,0.1,1.64,2.7,20.9,214.56,0.08,0.9,0.81
hes,-19.87,129.06,-0.08,2.7,7.29,-19.34,113.17,-0.08,1.59,2.54,9.72,118.57,0.04,1.03,1.05
hpe,3.47,14.64,0.01,0.23,0.05,3.12,14.34,0.01,0.19,0.04,-1.47,15.48,-0.01,0.15,0.02
hlt,-11.51,133.74,-0.05,2.1,4.4,-21.7,132.16,-0.09,1.74,3.04,-20.07,141.39,-0.08,1.33,1.77
hfc,6.55,33.53,0.03,0.84,0.7,-14.92,34.21,-0.06,0.49,0.24,0.85,35.52,0.0,0.31,0.09
holx,-4.38,74.86,-0.02,0.95,0.91,7.72,72.46,0.03,0.8,0.65,0.63,75.11,0.0,0.53,0.28
hd,85.63,298.83,0.34,4.58,20.98,-31.38,291.42,-0.12,2.88,8.29,6.01,294.81,0.02,2.4,5.74
hon,-3.2,194.58,-0.01,2.4,5.76,-14.53,187.01,-0.06,1.4,1.95,-12.41,191.54,-0.05,1.07,1.15
hrl,8.54,45.32,0.03,0.43,0.19,-1.54,47.51,-0.01,0.31,0.09,-3.9,46.42,-0.02,0.19,0.04
hst,1.06,17.32,0.0,0.34,0.12,2.43,18.29,0.01,0.28,0.08,1.54,19.73,0.01,0.19,0.04
hwm,-10.22,42.7,-0.04,0.58,0.33,2.27,36.68,0.01,0.4,0.16,1.21,33.18,0.0,0.23,0.05
hpq,5.4,29.9,0.02,0.51,0.26,9.24,33.74,0.04,0.34,0.11,-0.17,36.7,-0.0,0.24,0.06
hum,33.61,498.53,0.13,6.57,43.18,-55.09,495.22,-0.22,4.44,19.69,56.71,468.39,0.23,2.5,6.23
hban,-3.27,13.36,-0.01,0.27,0.07,1.6,13.32,0.01,0.14,0.02,1.02,12.42,0.0,0.08,0.01
hii,-10.81,220.58,-0.04,3.01,9.05,45.45,220.15,0.18,2.39,5.69,18.08,208.26,0.07,1.14,1.31
iex,-16.2,213.21,-0.06,2.77,7.69,30.53,198.0,0.12,1.89,3.58,9.61,185.0,0.04,0.92,0.85
idxx,149.34,414.63,0.59,8.34,69.5,-25.45,363.35,-0.1,5.41,29.29,17.98,359.97,0.07,2.6,6.74
info,8.65,115.0,0.03,1.44,2.07,7.58,103.77,0.03,0.85,0.71,0.8,95.53,0.0,0.5,0.25
itw,-31.42,214.56,-0.12,2.78,7.73,-9.33,196.83,-0.04,2.06,4.23,-15.67,196.97,-0.06,1.04,1.08
ilmn,61.86,210.04,0.25,5.78,33.38,-32.45,201.27,-0.13,4.85,23.48,-12.71,190.99,-0.05,1.68,2.82
incy,-8.9,75.1,-0.04,1.01,1.03,3.31,75.84,0.01,0.82,0.67,-4.22,75.35,-0.02,0.55,0.3
ir,10.45,51.5,0.04,0.84,0.7,10.58,46.17,0.04,0.6,0.36,2.48,45.22,0.01,0.31,0.1
intc,-0.35,31.33,-0.0,0.6,0.36,-11.39,38.49,-0.05,0.37,0.14,7.06,40.22,0.03,0.18,0.03
ice,-14.41,101.75,-0.06,1.37,1.87,-5.77,99.79,-0.02,0.86,0.74,-4.84,98.01,-0.02,0.55,0.31
ibm,13.32,133.56,0.05,1.44,2.06,-5.68,135.69,-0.02,0.97,0.94,-5.67,133.28,-0.02,0.72,0.52
ip,-7.16,37.91,-0.03,0.55,0.3,-9.66,42.55,-0.04,0.41,0.17,-4.29,44.89,-0.02,0.26,0.07
ipg,-12.08,32.14,-0.05,0.45,0.21,-7.18,29.59,-0.03,0.36,0.13,5.06,30.43,0.02,0.23,0.05
iff,19.82,104.74,0.08,1.88,3.54,7.81,122.52,0.03,1.45,2.11,-6.84,126.72,-0.03,0.87,0.76
intu,111.84,413.55,0.44,8.84,78.23,-75.56,421.52,-0.3,5.0,25.05,-60.87,393.31,-0.24,3.66,13.38
isrg,96.61,239.38,0.38,3.78,14.28,-13.04,210.22,-0.05,3.18,10.12,13.54,205.22,0.05,2.34,5.48
ivz,-3.4,17.16,-0.01,0.34,0.11,-4.59,18.19,-0.02,0.24,0.06,-3.29,19.12,-0.01,0.17,0.03
ipgp,39.39,101.69,0.16,2.09,4.39,-4.59,94.58,-0.02,1.44,2.09,-1.37,97.54,-0.01,0.81,0.66
iqv,23.44,209.15,0.09,3.79,14.39,4.73,213.77,0.02,2.6,6.75,21.62,208.73,0.09,1.29,1.66
irm,9.29,51.46,0.04,0.87,0.75,5.32,51.33,0.02,0.57,0.32,0.02,54.73,0.0,0.34,0.12
jkhy,-0.74,178.59,-0.0,2.63,6.91,25.28,190.62,0.1,1.72,2.96,14.08,181.47,0.06,0.8,0.63
j,-5.54,119.99,-0.02,1.7,2.87,-13.96,119.96,-0.06,1.31,1.73,7.72,117.58,0.03,0.68,0.46
jbht,25.91,175.16,0.1,3.03,9.2,8.79,171.56,0.03,2.09,4.36,-0.69,167.57,-0.0,1.4,1.97
sjm,-6.22,144.7,-0.02,1.51,2.28,-9.46,133.82,-0.04,1.44,2.09,-10.26,125.93,-0.04,0.91,0.82
jnj,-20.36,168.09,-0.08,1.64,2.69,3.68,175.08,0.01,1.11,1.23,2.36,177.71,0.01,0.69,0.47
jci,-6.68,58.45,-0.03,0.87,0.76,2.18,52.82,0.01,0.67,0.44,-1.22,52.0,-0.0,0.33,0.11
jpm,9.64,126.87,0.04,1.75,3.07,-2.08,118.05,-0.01,0.96,0.93,3.24,123.25,0.01,0.72,0.52
jnpr,7.47,30.06,0.03,0.42,0.17,-0.55,28.46,-0.0,0.29,0.09,-0.34,29.3,-0.0,0.14,0.02
ksu,-16.84,271.03,-0.07,3.26,10.62,-24.33,238.18,-0.1,2.95,8.69,-7.76,211.0,-0.03,1.37,1.88
k,-8.43,70.52,-0.03,0.78,0.61,-0.6,71.64,-0.0,0.61,0.38,0.03,68.74,0.0,0.46,0.22
key,-2.64,16.66,-0.01,0.37,0.13,-2.84,17.65,-0.01,0.19,0.04,-0.5,18.62,-0.0,0.09,0.01
keys,-30.18,161.33,-0.12,2.32,5.38,19.55,148.58,0.08,1.53,2.34,-4.34,140.04,-0.02,1.01,1.02
kmb,17.45,130.76,0.07,1.35,1.83,17.78,132.78,0.07,1.14,1.29,-10.25,132.75,-0.04,0.67,0.44
kim,-2.11,20.64,-0.01,0.33,0.11,-1.15,22.58,-0.0,0.28,0.08,-7.99,23.83,-0.03,0.21,0.05
kmi,-1.66,17.82,-0.01,0.23,0.05,-1.64,17.86,-0.01,0.17,0.03,-3.18,19.15,-0.01,0.1,0.01
klac,230.41,362.24,0.91,7.53,56.64,23.91,346.15,0.09,5.23,27.3,-9.41,338.92,-0.04,3.02,9.14
khc,-2.11,38.32,-0.01,0.43,0.18,3.34,38.79,0.01,0.41,0.16,7.23,42.64,0.03,0.19,0.04
kr,5.3,47.15,0.02,0.74,0.55,-8.58,50.1,-0.03,0.54,0.3,-6.42,53.86,-0.03,0.34,0.12
lb,13.46,54.12,0.07,1.2,1.44,1.41,37.95,0.01,0.63,0.4,2.69,33.12,0.01,0.29,0.08
lhx,21.91,212.86,0.09,3.01,9.05,4.08,232.01,0.02,3.01,9.08,-0.6,232.26,-0.0,1.44,2.06
lh,-21.69,234.06,-0.09,3.48,12.08,5.75,242.53,0.02,2.44,5.97,12.41,241.05,0.05,1.55,2.41
lrcx,-369.71,461.86,-1.47,10.98,120.56,-82.73,463.29,-0.33,7.67,58.81,64.65,483.86,0.26,5.15,26.57
lw,27.33,88.18,0.11,0.99,0.97,17.07,78.37,0.07,0.8,0.64,-9.0,69.94,-0.04,0.44,0.2
lvs,17.62,45.87,0.07,0.91,0.83,-5.74,35.0,-0.02,0.49,0.24,-2.39,33.31,-0.01,0.37,0.14
leg,-9.73,34.84,-0.04,0.52,0.28,1.36,36.77,0.01,0.47,0.22,-0.95,36.6,-0.0,0.26,0.07
ldos,-21.43,97.59,-0.09,1.38,1.9,-15.55,100.43,-0.06,0.87,0.75,4.93,102.1,0.02,0.53,0.28
len,53.19,89.13,0.21,1.57,2.48,12.24,78.16,0.05,1.02,1.05,6.33,75.85,0.03,0.69,0.47
lly,-91.64,341.3,-0.36,4.79,22.9,5.04,317.48,0.02,2.85,8.12,23.05,324.47,0.09,1.53,2.34
lnc,-12.38,38.19,-0.05,1.01,1.02,-10.92,46.04,-0.04,0.98,0.95,1.18,48.41,0.0,0.4,0.16
lin,-134.95,318.35,-0.54,4.15,17.22,14.21,301.73,0.06,2.5,6.26,11.7,309.39,0.05,1.79,3.22
lyv,4.46,79.24,0.02,1.76,3.1,7.36,92.39,0.03,1.63,2.67,-25.03,93.67,-0.1,1.43,2.06
lkq,-16.72,53.67,-0.07,0.77,0.59,13.41,51.34,0.05,0.75,0.57,1.07,50.18,0.0,0.34,0.12
lmt,34.99,450.6,0.14,5.5,30.22,68.32,425.87,0.27,3.92,15.37,6.32,439.06,0.03,2.14,4.59
l,-5.7,57.62,-0.02,0.69,0.48,4.46,58.4,0.02,0.54,0.29,1.56,62.1,0.01,0.34,0.12
low,57.3,198.15,0.23,3.22,10.37,12.72,188.28,0.05,2.2,4.83,11.35,193.93,0.05,1.71,2.94
lumn,1.91,2.68,0.01,0.1,0.01,-3.97,4.42,-0.02,0.09,0.01,-0.27,5.41,-0.0,0.05,0.0
lyb,4.04,88.92,0.02,1.34,1.78,13.16,93.94,0.05,1.0,0.99,-8.13,105.44,-0.03,0.69,0.47
mtb,-7.28,157.18,-0.03,2.74,7.5,6.59,174.37,0.03,1.99,3.96,7.83,164.14,0.03,1.07,1.14
mro,-5.16,25.99,-0.02,0.61,0.37,5.23,24.3,0.02,0.4,0.16,-6.96,27.78,-0.03,0.27,0.07
mpc,23.77,110.49,0.09,2.47,6.09,7.84,93.27,0.03,1.23,1.51,6.44,96.51,0.03,0.75,0.56
mktx,38.78,291.3,0.15,6.89,47.41,-20.26,257.97,-0.08,3.49,12.2,10.63,272.56,0.04,1.9,3.62
mar,19.88,159.37,0.08,2.69,7.26,-31.67,155.63,-0.13,1.86,3.48,-42.45,175.19,-0.17,1.54,2.38
mmc,20.22,164.13,0.08,2.07,4.29,3.97,157.81,0.02,1.44,2.09,11.83,153.78,0.05,0.72,0.51
mlm,67.45,344.72,0.27,5.36,28.69,-4.81,336.77,-0.02,4.36,19.02,14.57,327.25,0.06,2.23,4.99
mas,10.67,50.93,0.04,0.88,0.78,4.68,53.25,0.02,0.59,0.34,-2.64,54.85,-0.01,0.38,0.15
ma,-97.1,345.03,-0.39,4.48,20.04,30.37,347.88,0.12,3.2,10.22,-11.88,340.6,-0.05,2.46,6.03
mkc,0.59,82.1,0.0,0.99,0.97,-20.79,87.12,-0.08,0.9,0.82,8.23,89.5,0.03,0.53,0.28
mxim,10.04,92.8,0.05,1.45,2.1,-24.78,87.39,-0.1,0.84,0.7,3.33,78.29,0.01,0.4,0.16
mcd,57.39,264.15,0.23,2.69,7.26,28.33,247.78,0.11,1.77,3.13,-9.73,248.69,-0.04,1.05,1.1
mck,27.88,357.25,0.11,4.68,21.86,-61.68,335.7,-0.24,3.52,12.4,0.88,321.89,0.0,2.29,5.25
mdt,-0.17,85.63,-0.0,1.1,1.2,-4.19,90.03,-0.02,0.66,0.44,3.7,90.15,0.01,0.4,0.16
mrk,21.83,100.71,0.09,1.12,1.26,8.99,90.7,0.04,0.67,0.45,5.11,87.42,0.02,0.54,0.29
met,4.0,65.77,0.02,1.01,1.02,2.62,63.87,0.01,0.53,0.28,-2.54,65.46,-0.01,0.38,0.14
mtd,333.29,1358.1,1.32,24.24,587.34,15.76,1223.42,0.06,16.44,270.4,-98.56,1212.81,-0.39,6.93,48.08
mgm,6.01,36.67,0.02,0.77,0.6,0.14,31.74,0.0,0.44,0.2,6.93,36.36,0.03,0.39,0.16
mchp,16.74,71.34,0.07,1.41,1.99,10.16,65.25,0.04,0.82,0.67,-4.93,59.65,-0.02,0.42,0.18
mu,32.47,58.4,0.13,1.29,1.66,2.09,62.27,0.01,0.79,0.63,-2.36,70.66,-0.01,0.54,0.3
msft,-91.99,259.89,-0.37,4.06,16.48,30.45,263.2,0.12,2.16,4.65,-3.75,263.98,-0.01,1.26,1.59
maa,8.27,161.72,0.03,2.39,5.69,-18.82,165.87,-0.07,1.8,3.24,0.08,172.07,0.0,0.9,0.81
mhk,5.24,109.04,0.02,2.43,5.88,-4.01,123.72,-0.02,2.25,5.06,-1.85,133.85,-0.01,1.09,1.19
tap,-12.56,53.49,-0.05,0.76,0.58,2.24,54.88,0.01,0.62,0.38,-3.51,54.05,-0.01,0.46,0.21
mdlz,7.38,64.98,0.03,0.65,0.42,2.67,62.22,0.01,0.43,0.19,0.28,61.43,0.0,0.27,0.07
mpwr,-195.05,424.74,-0.77,11.19,125.21,-5.41,408.81,-0.02,8.55,73.04,21.7,410.36,0.09,3.59,12.9
mnst,-11.9,49.12,-0.05,0.57,0.33,-0.57,45.76,-0.0,0.41,0.16,-6.24,46.85,-0.02,0.23,0.06
mco,96.89,289.59,0.38,4.6,21.14,3.94,280.83,0.02,3.73,13.9,-13.74,279.03,-0.05,2.73,7.47
ms,12.66,86.42,0.05,1.2,1.45,10.06,80.2,0.04,0.68,0.47,-2.85,82.23,-0.01,0.47,0.22
mos,-7.16,49.29,-0.03,1.3,1.68,-0.55,51.36,-0.0,0.75,0.56,-9.92,53.13,-0.04,0.5,0.25
msi,50.88,251.03,0.2,3.18,10.08,-20.16,226.38,-0.08,2.23,4.95,6.68,212.46,0.03,1.13,1.27
msci,111.55,478.34,0.44,8.98,80.62,-47.66,440.61,-0.19,5.54,30.69,54.79,412.93,0.22,3.25,10.55
ndaq,12.71,57.96,0.05,0.79,0.62,-17.97,61.7,-0.07,1.07,1.15,11.77,58.43,0.05,0.25,0.06
ntap,-14.21,66.53,-0.06,1.02,1.03,0.25,70.79,0.0,0.86,0.74,-2.96,71.74,-0.01,0.61,0.37
nflx,192.94,274.44,0.77,6.63,43.96,-53.53,198.78,-0.21,2.79,7.79,-23.53,185.5,-0.09,1.58,2.48
nwl,5.29,15.38,0.02,0.35,0.12,-5.67,18.42,-0.02,0.24,0.06,0.27,19.14,0.0,0.14,0.02
nem,-19.73,49.0,-0.08,0.96,0.93,-20.11,50.89,-0.08,0.65,0.42,16.06,54.79,0.06,0.45,0.2
nwsa,-3.6,17.33,-0.01,0.29,0.08,1.67,16.75,0.01,0.2,0.04,0.92,16.71,0.0,0.12,0.02
nws,4.9,17.56,0.02,0.29,0.08,1.49,16.91,0.01,0.2,0.04,-0.95,16.65,-0.0,0.12,0.01
nee,0.77,79.75,0.0,1.08,1.16,-2.84,85.06,-0.01,0.66,0.43,8.24,78.46,0.03,0.4,0.16
nlsn,-0.87,21.98,-0.0,0.49,0.24,-2.72,20.36,-0.01,0.21,0.05,-2.95,21.01,-0.01,0.1,0.01
nke,52.55,112.13,0.21,1.78,3.16,1.73,110.81,0.01,1.03,1.07,3.46,113.65,0.01,0.64,0.41
ni,-4.18,28.03,-0.02,0.4,0.16,5.79,29.32,0.02,0.29,0.08,0.68,29.87,0.0,0.14,0.02
nsc,28.45,231.78,0.11,3.25,10.55,-20.61,233.51,-0.08,2.41,5.79,-2.8,231.09,-0.01,1.3,1.69
ntrs,6.25,91.62,0.02,1.55,2.4,-14.18,96.4,-0.06,1.13,1.29,-7.09,102.28,-0.03,0.7,0.48
noc,28.47,480.66,0.11,7.73,59.77,54.59,475.15,0.22,4.77,22.72,37.71,466.29,0.15,2.79,7.81
nlok,0.3,24.69,0.0,0.5,0.25,-5.43,25.82,-0.02,0.3,0.09,-0.8,25.01,-0.0,0.16,0.03
nclh,-2.13,14.16,-0.01,0.51,0.26,2.92,12.72,0.01,0.26,0.07,2.18,11.76,0.01,0.17,0.03
nov,-0.95,19.26,-0.0,0.48,0.23,0.59,17.51,0.0,0.28,0.08,-1.55,18.84,-0.01,0.19,0.03
nrg,-9.51,37.59,-0.04,0.66,0.44,0.28,40.28,0.0,0.44,0.19,5.95,41.74,0.02,0.28,0.08
nue,-23.84,138.39,-0.09,3.2,10.22,-24.79,125.17,-0.1,1.94,3.77,-36.05,146.54,-0.14,1.71,2.94
nvda,-226.21,187.19,-0.9,4.91,24.14,0.35,169.91,0.0,2.54,6.45,14.66,176.41,0.06,1.35,1.83
nvr,1957.01,4702.9,7.77,75.77,5741.14,-130.97,4221.01,-0.52,59.92,3590.23,-198.54,4146.49,-0.79,30.03,902.05
nxpi,35.52,168.61,0.14,3.44,11.82,13.02,172.33,0.05,2.42,5.85,21.6,180.32,0.09,1.77,3.14
orly,261.66,775.99,1.04,9.81,96.15,96.48,675.28,0.38,6.84,46.79,-19.25,617.84,-0.08,3.54,12.5
oxy,-1.82,64.12,-0.01,1.4,1.97,12.18,61.64,0.05,0.97,0.93,-1.23,58.85,-0.0,0.56,0.31
odfl,112.64,296.1,0.45,5.67,32.14,44.43,268.73,0.18,3.43,11.74,36.6,254.25,0.15,1.88,3.53
omc,-26.93,77.93,-0.11,1.04,1.09,-3.76,68.77,-0.01,0.78,0.6,9.89,69.48,0.04,0.53,0.28
oke,3.72,62.51,0.01,1.0,1.0,-5.16,60.65,-0.02,0.68,0.46,0.26,64.69,0.0,0.46,0.21
orcl,-38.81,80.13,-0.15,1.08,1.17,0.26,73.19,0.0,0.66,0.43,0.79,69.25,0.0,0.56,0.32
otis,14.03,81.61,0.06,0.94,0.87,9.6,74.74,0.04,0.62,0.39,-1.66,66.29,-0.01,0.36,0.13
pcar,-4.52,65.0,-0.02,0.9,0.81,7.49,57.69,0.03,0.52,0.27,1.28,56.31,0.01,0.3,0.09
pkg,-7.97,134.65,-0.03,2.0,4.01,-24.29,136.65,-0.1,1.53,2.33,0.18,148.25,0.0,0.79,0.63
ph,-25.82,295.63,-0.1,4.65,21.62,12.42,266.39,0.05,3.15,9.92,-2.23,261.85,-0.01,1.61,2.6
payx,4.64,117.14,0.02,1.64,2.68,-3.58,122.47,-0.01,1.19,1.42,-5.31,119.79,-0.02,0.63,0.4
payc,67.82,313.56,0.27,7.48,55.95,-87.92,321.34,-0.35,5.28,27.9,25.41,283.38,0.1,2.58,6.67
pypl,-1.63,80.1,-0.01,1.81,3.27,-8.8,82.34,-0.03,1.27,1.6,-10.45,73.17,-0.04,0.64,0.41
penn,-4.96,31.22,-0.02,0.86,0.75,-7.18,32.48,-0.03,0.57,0.33,5.18,31.59,0.02,0.37,0.14
pnr,6.51,48.77,0.03,0.82,0.68,-7.43,45.93,-0.03,0.54,0.29,-1.99,47.61,-0.01,0.27,0.07
pbct,-3.79,18.05,-0.02,0.34,0.11,1.6,17.64,0.01,0.18,0.03,0.94,18.02,0.0,0.1,0.01
pep,-10.39,175.87,-0.04,1.63,2.66,2.29,170.12,0.01,1.0,1.0,8.44,163.79,0.03,0.76,0.57
pki,-20.02,152.8,-0.08,3.14,9.86,-25.44,171.91,-0.1,2.3,5.31,11.87,181.87,0.05,1.29,1.67
prgo,3.62,37.28,0.01,0.59,0.35,9.33,37.14,0.04,0.44,0.2,1.28,37.44,0.01,0.22,0.05
pfe,-0.08,46.12,-0.0,0.57,0.33,3.9,50.92,0.02,0.41,0.17,-2.75,50.34,-0.01,0.23,0.05
pm,17.36,97.32,0.07,1.11,1.24,16.03,99.2,0.06,0.77,0.59,-0.25,103.91,-0.0,0.56,0.32
psx,-0.37,96.79,-0.0,1.98,3.92,-26.55,87.94,-0.11,1.19,1.42,-19.1,97.16,-0.08,0.86,0.74
pnw,1.65,74.35,0.01,0.99,0.98,-9.33,72.37,-0.04,0.8,0.63,-0.87,73.69,-0.0,0.38,0.15
pxd,-75.46,230.62,-0.3,4.66,21.68,-44.08,235.41,-0.17,2.85,8.14,15.17,229.73,0.06,1.59,2.54
pnc,12.38,152.44,0.05,2.71,7.32,1.0,159.63,0.0,1.66,2.77,5.27,157.93,0.02,1.05,1.11
pool,39.68,346.34,0.16,7.67,58.9,41.25,350.8,0.16,5.99,35.84,22.87,374.8,0.09,3.26,10.64
ppg,-8.94,126.43,-0.04,2.0,4.02,7.29,122.14,0.03,1.39,1.94,-0.15,119.85,-0.0,0.87,0.76
ppl,-1.03,28.2,-0.0,0.35,0.12,-0.74,28.44,-0.0,0.23,0.05,-1.23,29.11,-0.0,0.12,0.02
pfg,32.0,78.14,0.13,1.24,1.53,8.03,70.81,0.03,0.8,0.64,-1.76,69.04,-0.01,0.44,0.19
pg,17.42,143.37,0.07,1.45,2.11,7.86,144.16,0.03,1.23,1.5,-16.32,148.56,-0.06,0.71,0.51
pgr,28.88,127.89,0.11,1.98,3.92,8.77,117.73,0.03,1.19,1.42,-10.38,114.14,-0.04,0.59,0.35
pld,4.81,119.92,0.02,1.92,3.68,-12.24,122.64,-0.05,1.41,1.98,15.23,120.0,0.06,0.82,0.68
pru,0.54,95.86,0.0,1.43,2.04,-11.75,100.58,-0.05,1.04,1.08,-5.6,104.83,-0.02,0.77,0.59
ptc,47.56,120.02,0.19,1.85,3.44,7.88,112.07,0.03,1.55,2.41,9.91,110.53,0.04,0.78,0.61
peg,4.72,61.76,0.02,0.83,0.69,-11.17,64.48,-0.04,0.6,0.36,3.44,65.1,0.01,0.28,0.08
psa,5.45,303.9,0.02,4.72,22.29,36.31,316.67,0.14,3.12,9.73,-27.99,315.65,-0.11,1.78,3.18
phm,30.86,47.96,0.12,0.85,0.72,8.79,41.9,0.03,0.58,0.34,2.24,41.45,0.01,0.39,0.15
pvh,23.5,69.01,0.09,1.61,2.6,-9.02,65.93,-0.04,1.21,1.47,-1.77,68.65,-0.01,0.74,0.55
qrvo,-33.2,96.33,-0.13,2.16,4.68,-32.17,106.81,-0.13,1.53,2.33,-12.22,113.72,-0.05,1.12,1.25
pwr,13.53,144.93,0.05,2.4,5.78,10.4,131.37,0.04,1.79,3.2,7.73,121.99,0.03,1.0,1.0
qcom,27.71,125.15,0.11,2.53,6.42,11.55,138.69,0.05,1.56,2.44,1.37,136.19,0.01,0.85,0.72
dgx,-1.62,138.98,-0.01,1.75,3.07,-12.62,135.03,-0.05,1.37,1.88,-4.33,137.48,-0.02,0.86,0.74
rl,32.38,104.4,0.13,2.04,4.15,12.3,96.13,0.05,1.43,2.03,15.86,97.0,0.06,0.93,0.86
rjf,8.59,102.59,0.03,1.78,3.16,10.5,98.85,0.04,1.16,1.34,2.15,92.27,0.01,0.61,0.38
rtx,1.09,93.7,0.0,1.1,1.21,-17.86,93.27,-0.07,0.8,0.63,-7.29,85.16,-0.03,0.48,0.23
o,-3.51,65.04,-0.01,0.77,0.59,-11.91,69.11,-0.05,0.43,0.19,2.26,73.0,0.01,0.24,0.06
reg,-0.84,61.62,-0.0,0.88,0.78,-8.45,60.99,-0.03,0.7,0.49,0.5,62.66,0.0,0.47,0.22
regn,-100.31,707.36,-0.4,10.24,104.9,9.0,641.66,0.04,7.55,56.95,-35.04,677.44,-0.14,4.16,17.31
rf,2.74,20.82,0.01,0.47,0.22,0.11,20.37,0.0,0.24,0.06,0.76,20.84,0.0,0.16,0.03
rsg,3.9,134.26,0.02,1.54,2.37,4.07,135.63,0.02,1.17,1.38,4.03,129.57,0.02,0.56,0.31
rmd,-18.11,220.47,-0.07,3.22,10.37,33.29,222.47,0.13,2.06,4.23,33.71,210.11,0.13,1.06,1.11
rhi,-11.97,77.67,-0.05,1.39,1.94,-4.92,79.81,-0.02,1.1,1.21,1.72,83.07,0.01,0.62,0.38
rok,71.11,252.94,0.28,3.91,15.26,37.58,222.2,0.15,2.63,6.93,-2.24,204.24,-0.01,1.28,1.65
rol,5.41,37.17,0.02,0.51,0.26,-5.12,35.8,-0.02,0.46,0.21,2.81,34.52,0.01,0.17,0.03
rop,23.41,420.34,0.09,5.32,28.35,-0.28,402.14,-0.0,3.86,14.89,-12.22,406.67,-0.05,1.95,3.82
rost,-33.02,97.77,-0.13,1.68,2.82,-8.6,82.48,-0.03,1.76,3.1,7.2,78.86,0.03,1.52,2.31
rcl,22.01,54.25,0.09,1.65,2.71,-8.5,37.9,-0.03,0.8,0.65,-22.94,43.29,-0.09,0.52,0.27
spgi,-151.0,345.65,-0.6,5.13,26.37,19.94,346.29,0.08,4.31,18.54,48.41,336.5,0.19,2.82,7.93
crm,102.85,167.28,0.41,3.27,10.72,-15.07,177.98,-0.06,2.09,4.38,-15.42,171.81,-0.06,1.49,2.21
sbac,-36.85,290.51,-0.15,5.22,27.23,-54.58,313.51,-0.22,4.15,17.22,14.92,323.65,0.06,2.43,5.93
slb,9.94,46.12,0.04,1.06,1.12,-14.26,36.92,-0.06,0.53,0.28,-8.56,44.9,-0.03,0.33,0.11
stx,26.09,64.33,0.1,1.34,1.8,6.09,78.79,0.02,1.25,1.56,-1.12,82.71,-0.0,0.75,0.57
see,-8.37,51.31,-0.03,0.87,0.76,-6.29,54.41,-0.02,0.68,0.47,5.38,59.77,0.02,0.34,0.12
sre,-12.18,78.08,-0.05,1.03,1.06,9.7,79.67,0.04,0.72,0.51,-7.81,76.93,-0.03,0.38,0.14
now,193.7,435.12,0.77,9.93,98.63,56.54,463.78,0.22,6.81,46.33,-111.32,464.31,-0.44,4.44,19.67
shw,41.18,233.47,0.16,3.99,15.94,65.71,237.88,0.26,3.96,15.71,-4.64,246.82,-0.02,1.79,3.2
