,date,open,high,low,close,volume
0,2019-02-19 09:00:00,175.07,175.62,174.9,175.29,42663
1,2019-02-19 10:00:00,175.21,175.685,175.05,175.15,46592
2,2019-02-19 11:00:00,175.22,175.8,174.89,175.8,46984
3,2019-02-19 12:00:00,175.8,175.86,175.58,175.69,41719
4,2019-02-19 13:00:00,175.69,175.7987,175.22,175.275,31039
5,2019-02-19 14:00:00,175.24,175.93,175.24,175.895,34604
6,2019-02-19 15:00:00,175.89,175.89,175.51,175.7,98511
7,2019-02-19 16:00:00,175.68,175.68,175.68,175.68,79957
8,2019-02-20 09:00:00,175.98,176.735,175.27,176.19,38434
9,2019-02-20 10:00:00,176.2,176.5,175.8,176.13,42755
10,2019-02-20 11:00:00,176.16,176.43,175.48,176.21,36864
11,2019-02-20 12:00:00,176.17,176.17,174.35,174.61,31554
12,2019-02-20 13:00:00,174.65,175.67,174.55,175.56,30867
13,2019-02-20 14:00:00,175.6,175.91,174.76,175.71,42830
14,2019-02-20 15:00:00,175.64,176.11,175.58,176.06,105115
15,2019-02-20 16:00:00,176.01,176.01,176.01,176.01,188492
16,2019-02-21 09:00:00,176.03,176.26,174.8,174.9,80276
17,2019-02-21 10:00:00,174.94,175.6,174.41,175.395,72141
18,2019-02-21 11:00:00,175.46,176.16,175.24,176.09,39779
19,2019-02-21 12:00:00,176.1,176.59,175.97,176.485,51913
20,2019-02-21 13:00:00,176.52,176.62,176.04,176.42,44379
21,2019-02-21 14:00:00,176.35,176.41,175.1309,175.33,54459
22,2019-02-21 15:00:00,175.33,175.99,175.33,175.93,125660
23,2019-02-21 16:00:00,176.0,176.0,176.0,176.0,8368
24,2019-02-22 09:00:00,176.76,177.62,175.69,177.53,41200
25,2019-02-22 10:00:00,177.64,177.99,177.18,177.57,57633
26,2019-02-22 11:00:00,177.61,178.1,177.28,178.1,43534
27,2019-02-22 12:00:00,178.1,178.21,177.67,177.93,35748
28,2019-02-22 13:00:00,177.88,178.22,177.86,178.05,43504
29,2019-02-22 14:00:00,178.06,178.39,177.53,177.87,61372
30,2019-02-22 15:00:00,177.84,178.92,177.84,178.78,126742
31,2019-02-22 16:00:00,178.79,178.79,178.79,178.79,48168
32,2019-02-25 09:00:00,179.65,180.21,179.16,179.32,86779
